Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,428359,428359,100.0,0,0.0
2,client,428359,428359,100.0,0,0.0
3,name_grp1,428359,428359,100.0,0,0.0
4,partgrptyp,428359,428359,100.0,0,0.0
5,mem_house,428359,428359,100.0,0,0.0
6,children,428359,428359,100.0,0,0.0
7,perno,428359,428359,100.0,0,0.0
8,deathdt,428359,428359,100.0,0,0.0
9,birthdt,428359,428359,100.0,0,0.0
10,bu_langu,428359,428359,100.0,0,0.0
11,xubname,428359,428359,100.0,0,0.0
12,xsexu,428359,428359,100.0,0,0.0
13,persnumber,428359,428359,100.0,0,0.0
14,cndsc,428359,428359,100.0,0,0.0
15,cntax,428359,428359,100.0,0,0.0
16,natio,428359,428359,100.0,0,0.0
17,jobgr,428359,428359,100.0,0,0.0
18,emplo,428359,428359,100.0,0,0.0
19,marst,428359,428359,100.0,0,0.0
20,birthpl,428359,428359,100.0,0,0.0
21,xsexf,428359,428359,100.0,0,0.0
22,xsexm,428359,428359,100.0,0,0.0
23,langu_corr,428359,428359,100.0,0,0.0
24,name_grp2,428359,428359,100.0,0,0.0
25,mc_name1,428359,428359,100.0,0,0.0
26,mc_name2,428359,428359,100.0,0,0.0
27,valid_from,428359,428359,100.0,0,0.0
28,gender,428359,428359,100.0,0,0.0
29,birthdt_status,428359,428359,100.0,0,0.0
30,kbankl,428359,428359,100.0,0,0.0
31,kbanks,428359,428359,100.0,0,0.0
32,bp_sort,428359,428359,100.0,0,0.0
33,par_rel,428359,428359,100.0,0,0.0
34,natpers,428359,428359,100.0,0,0.0
35,xpcpt,428359,428359,100.0,0,0.0
36,valid_to,428359,428359,100.0,0,0.0
37,db_key,428359,428359,100.0,0,0.0
38,crusr,428359,428359,100.0,0,0.0
39,is_org_centre,428359,428359,100.0,0,0.0
40,td_switch,428359,428359,100.0,0,0.0
41,addrcomm,428359,428359,100.0,0,0.0
42,partner_guid,428359,428359,100.0,0,0.0
43,chtim,428359,428359,100.0,0,0.0
44,chdat,428359,428359,100.0,0,0.0
45,chusr,428359,428359,100.0,0,0.0
46,crtim,428359,428359,100.0,0,0.0
47,crdat,428359,428359,100.0,0,0.0
48,namcountry,428359,428359,100.0,0,0.0
49,nameformat,428359,428359,100.0,0,0.0
50,initials,428359,428359,100.0,0,0.0
51,xblck,428359,428359,100.0,0,0.0
52,napr,428359,428359,100.0,0,0.0
53,bp_eew_dummy,428359,428359,100.0,0,0.0
54,print_mode,428359,428359,100.0,0,0.0
55,not_lg_competent,428359,428359,100.0,0,0.0
56,not_released,428359,428359,100.0,0,0.0
57,contact,428359,428359,100.0,0,0.0
58,bu_logsys,428359,428359,100.0,0,0.0
59,title_let,428359,428359,100.0,0,0.0
60,augrp,428359,428359,100.0,0,0.0
61,xdele,428359,428359,100.0,0,0.0
62,name_org1,428359,428359,100.0,0,0.0
63,title,428359,428359,100.0,0,0.0
64,source,428359,428359,100.0,0,0.0
65,bu_sort2,428359,428359,100.0,0,0.0
66,bu_sort1,428359,428359,100.0,0,0.0
67,bpext,428359,428359,100.0,0,0.0
68,bu_group,428359,428359,100.0,0,0.0
69,bpkind,428359,428359,100.0,0,0.0
70,type,428359,428359,100.0,0,0.0
71,partner,428359,428359,100.0,0,0.0
72,bbp_ipisp,428359,428359,100.0,0,0.0
73,name_org2,428359,428359,100.0,0,0.0
74,nickname,428359,428359,100.0,0,0.0
75,name_first,428359,428359,100.0,0,0.0
76,name1_text,428359,428359,100.0,0,0.0
77,prefix2,428359,428359,100.0,0,0.0
78,prefix1,428359,428359,100.0,0,0.0
79,title_royl,428359,428359,100.0,0,0.0
80,title_aca2,428359,428359,100.0,0,0.0
81,title_aca1,428359,428359,100.0,0,0.0
82,namemiddle,428359,428359,100.0,0,0.0
83,name_last2,428359,428359,100.0,0,0.0
84,name_lst2,428359,428359,100.0,0,0.0
85,name_last,428359,428359,100.0,0,0.0
86,name_org3,428359,428359,100.0,0,0.0
87,location_3,428359,428359,100.0,0,0.0
88,location_2,428359,428359,100.0,0,0.0
89,location_1,428359,428359,100.0,0,0.0
90,liquid_dat,428359,428359,100.0,0,0.0
91,found_dat,428359,428359,100.0,0,0.0
92,legal_org,428359,428359,100.0,0,0.0
93,ind_sector,428359,428359,100.0,0,0.0
94,legal_enty,428359,428359,100.0,0,0.0
95,name_org4,428359,428359,100.0,0,0.0
96,src_commit_time,428359,428359,100.0,0,0.0
