Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,235568,235568,100.0,0,0.0
2,mandt,235568,235568,100.0,0,0.0
3,atinn,235568,235568,100.0,0,0.0
4,spras,235568,235568,100.0,0,0.0
5,adzhl,235568,235568,100.0,0,0.0
6,atbez,235568,235568,100.0,0,0.0
7,atue1,235568,235568,100.0,0,0.0
8,atue2,235568,235568,100.0,0,0.0
9,datuv,235568,235568,100.0,0,0.0
10,techv,235568,235568,100.0,0,0.0
11,aennr,235568,235568,100.0,0,0.0
12,lkenz,235568,235568,100.0,0,0.0
13,src_commit_time,235568,235568,100.0,0,0.0
