Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,3913,3913,100.0,0,0.0
2,mandt,3913,3913,100.0,0,0.0
3,atvpl,3913,3913,100.0,0,0.0
4,atinc,3913,3913,100.0,0,0.0
5,atprz,3913,3913,100.0,0,0.0
6,attlb,3913,3913,100.0,0,0.0
7,attlv,3913,3913,100.0,0,0.0
8,atwhi,3913,3913,100.0,0,0.0
9,knobj,3913,3913,100.0,0,0.0
10,atzhh,3913,3913,100.0,0,0.0
11,doktl,3913,3913,100.0,0,0.0
12,dokvr,3913,3913,100.0,0,0.0
13,doknr,3913,3913,100.0,0,0.0
14,dokar,3913,3913,100.0,0,0.0
15,lkenz,3913,3913,100.0,0,0.0
16,aennr,3913,3913,100.0,0,0.0
17,techv,3913,3913,100.0,0,0.0
18,datuv,3913,3913,100.0,0,0.0
19,txtnr,3913,3913,100.0,0,0.0
20,spras,3913,3913,100.0,0,0.0
21,atidn,3913,3913,100.0,0,0.0
22,ataw1,3913,3913,100.0,0,0.0
23,atawe,3913,3913,100.0,0,0.0
24,atstd,3913,3913,100.0,0,0.0
25,atcod,3913,3913,100.0,0,0.0
26,atflb,3913,3913,100.0,0,0.0
27,atflv,3913,3913,100.0,0,0.0
28,atwrt,3913,3913,100.0,0,0.0
29,adzhl,3913,3913,100.0,0,0.0
30,atzhl,3913,3913,100.0,0,0.0
31,atinn,3913,3913,100.0,0,0.0
32,src_commit_time,3913,3913,100.0,0,0.0
