Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,9998079,4115137648,99.9,5633,0.1
2,mandant,9998079,4115137648,99.9,5633,0.1
3,_dataaging,9998079,4115137648,99.9,5633,0.1
4,value_old,9998079,4115137648,99.9,5633,0.1
5,value_new,9998079,4115137648,99.9,5633,0.1
6,cuky_new,9998079,4115137648,99.9,5633,0.1
7,cuky_old,9998079,4115137648,99.9,5633,0.1
8,unit_new,9998079,4115137648,99.9,5633,0.1
9,unit_old,9998079,4115137648,99.9,5633,0.1
10,text_case,9998079,4115137648,99.9,5633,0.1
11,chngind,9998079,4115137648,99.9,5633,0.1
12,fname,9998079,4115137648,99.9,5633,0.1
13,tabkey,9998079,4115137648,99.9,5633,0.1
14,tabname,9998079,4115137648,99.9,5633,0.1
15,changenr,9998079,4115137648,99.9,5633,0.1
16,objectid,9998079,4115137648,99.9,5633,0.1
17,objectclas,9998079,4115137648,99.9,5633,0.1
18,src_commit_time,9998079,4115137648,99.9,5633,0.1
