Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2210,2210,100.0,0,0.0
2,vname,2210,2210,100.0,0,0.0
3,telbx,2210,2210,100.0,0,0.0
4,telf1,2210,2210,100.0,0,0.0
5,telf2,2210,2210,100.0,0,0.0
6,telfx,2210,2210,100.0,0,0.0
7,teltx,2210,2210,100.0,0,0.0
8,telx1,2210,2210,100.0,0,0.0
9,datlt,2210,2210,100.0,0,0.0
10,drnam,2210,2210,100.0,0,0.0
11,khinr,2210,2210,100.0,0,0.0
12,bukrs,2210,2210,100.0,0,0.0
13,recid,2210,2210,100.0,0,0.0
14,mandt,2210,2210,100.0,0,0.0
15,etype,2210,2210,100.0,0,0.0
16,txjcd,2210,2210,100.0,0,0.0
17,regio,2210,2210,100.0,0,0.0
18,kvewe,2210,2210,100.0,0,0.0
19,kappl,2210,2210,100.0,0,0.0
20,kalsm,2210,2210,100.0,0,0.0
21,logsystem,2210,2210,100.0,0,0.0
22,lock_ind,2210,2210,100.0,0,0.0
23,pca_template,2210,2210,100.0,0,0.0
24,segment,2210,2210,100.0,0,0.0
25,spras,2210,2210,100.0,0,0.0
26,pstl2,2210,2210,100.0,0,0.0
27,pstlz,2210,2210,100.0,0,0.0
28,pfach,2210,2210,100.0,0,0.0
29,prctr,2210,2210,100.0,0,0.0
30,datbi,2210,2210,100.0,0,0.0
31,kokrs,2210,2210,100.0,0,0.0
32,datab,2210,2210,100.0,0,0.0
33,ersda,2210,2210,100.0,0,0.0
34,usnam,2210,2210,100.0,0,0.0
35,merkmal,2210,2210,100.0,0,0.0
36,abtei,2210,2210,100.0,0,0.0
37,verak,2210,2210,100.0,0,0.0
38,verak_user,2210,2210,100.0,0,0.0
39,waers,2210,2210,100.0,0,0.0
40,nprctr,2210,2210,100.0,0,0.0
41,land1,2210,2210,100.0,0,0.0
42,anred,2210,2210,100.0,0,0.0
43,name1,2210,2210,100.0,0,0.0
44,name2,2210,2210,100.0,0,0.0
45,name3,2210,2210,100.0,0,0.0
46,name4,2210,2210,100.0,0,0.0
47,ort01,2210,2210,100.0,0,0.0
48,ort02,2210,2210,100.0,0,0.0
49,stras,2210,2210,100.0,0,0.0
50,src_commit_time,2210,2210,100.0,0,0.0
