Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,718746,718746,100.0,0,0.0
2,ersav,718746,718746,100.0,0,0.0
3,srslist,718746,718746,100.0,0,0.0
4,lyopr,718746,718746,100.0,0,0.0
5,timestmp,718746,718746,100.0,0,0.0
6,sort,718746,718746,100.0,0,0.0
7,hienr,718746,718746,100.0,0,0.0
8,letpe,718746,718746,100.0,0,0.0
9,letja,718746,718746,100.0,0,0.0
10,ersch,718746,718746,100.0,0,0.0
11,bzdat,718746,718746,100.0,0,0.0
12,abrnr,718746,718746,100.0,0,0.0
13,aprof,718746,718746,100.0,0,0.0
14,analg,718746,718746,100.0,0,0.0
15,mandt,718746,718746,100.0,0,0.0
16,geinh,718746,718746,100.0,0,0.0
17,gmeng,718746,718746,100.0,0,0.0
18,ursch,718746,718746,100.0,0,0.0
19,kstar,718746,718746,100.0,0,0.0
20,absch,718746,718746,100.0,0,0.0
21,ktext,718746,718746,100.0,0,0.0
22,aedat,718746,718746,100.0,0,0.0
23,aenam,718746,718746,100.0,0,0.0
24,erdat,718746,718746,100.0,0,0.0
25,ernam,718746,718746,100.0,0,0.0
26,objnr,718746,718746,100.0,0,0.0
27,src_commit_time,718746,718746,100.0,0,0.0
