Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,14094972,14094972,100.0,0,0.0
2,refbz_fi,14094972,14094972,100.0,0,0.0
3,kwaer,14094972,14094972,100.0,0,0.0
4,awsys,14094972,14094972,100.0,0,0.0
5,awkey,14094972,14094972,100.0,0,0.0
6,awtyp,14094972,14094972,100.0,0,0.0
7,pprct,14094972,14094972,100.0,0,0.0
8,prctr,14094972,14094972,100.0,0,0.0
9,posnr,14094972,14094972,100.0,0,0.0
10,prodper,14094972,14094972,100.0,0,0.0
11,pbudget_pd,14094972,14094972,100.0,0,0.0
12,budget_pd,14094972,14094972,100.0,0,0.0
13,psegment,14094972,14094972,100.0,0,0.0
14,segment,14094972,14094972,100.0,0,0.0
15,pgrant_nbr,14094972,14094972,100.0,0,0.0
16,logsyso,14094972,14094972,100.0,0,0.0
17,grant_nbr,14094972,14094972,100.0,0,0.0
18,pgeber,14094972,14094972,100.0,0,0.0
19,geber,14094972,14094972,100.0,0,0.0
20,qmnum,14094972,14094972,100.0,0,0.0
21,timestmp,14094972,14094972,100.0,0,0.0
22,objnr_hk,14094972,14094972,100.0,0,0.0
23,bwstrat,14094972,14094972,100.0,0,0.0
24,dabrz,14094972,14094972,100.0,0,0.0
25,logsysp,14094972,14094972,100.0,0,0.0
26,pscope,14094972,14094972,100.0,0,0.0
27,pfkber,14094972,14094972,100.0,0,0.0
28,pbukrs,14094972,14094972,100.0,0,0.0
29,accas,14094972,14094972,100.0,0,0.0
30,accasty,14094972,14094972,100.0,0,0.0
31,kostl,14094972,14094972,100.0,0,0.0
32,lstar,14094972,14094972,100.0,0,0.0
33,qunit3,14094972,14094972,100.0,0,0.0
34,qunit2,14094972,14094972,100.0,0,0.0
35,qunit1,14094972,14094972,100.0,0,0.0
36,quant3,14094972,14094972,100.0,0,0.0
37,quant2,14094972,14094972,100.0,0,0.0
38,quant1,14094972,14094972,100.0,0,0.0
39,pce4key,14094972,14094972,100.0,0,0.0
40,pvbposnr,14094972,14094972,100.0,0,0.0
41,pvbeln,14094972,14094972,100.0,0,0.0
42,ppspid,14094972,14094972,100.0,0,0.0
43,ppspnr,14094972,14094972,100.0,0,0.0
44,pautyp,14094972,14094972,100.0,0,0.0
45,paufnr,14094972,14094972,100.0,0,0.0
46,plstar,14094972,14094972,100.0,0,0.0
47,pkostl,14094972,14094972,100.0,0,0.0
48,paccasty,14094972,14094972,100.0,0,0.0
49,paccas,14094972,14094972,100.0,0,0.0
50,erkrs,14094972,14094972,100.0,0,0.0
51,ce4key,14094972,14094972,100.0,0,0.0
52,vbposnr,14094972,14094972,100.0,0,0.0
53,vbeln,14094972,14094972,100.0,0,0.0
54,pspid,14094972,14094972,100.0,0,0.0
55,pspnr,14094972,14094972,100.0,0,0.0
56,autyp,14094972,14094972,100.0,0,0.0
57,aufnr,14094972,14094972,100.0,0,0.0
58,pkstar,14094972,14094972,100.0,0,0.0
59,scope,14094972,14094972,100.0,0,0.0
60,mandt,14094972,14094972,100.0,0,0.0
61,mbfbtr,14094972,14094972,100.0,0,0.0
62,vbund,14094972,14094972,100.0,0,0.0
63,uspob,14094972,14094972,100.0,0,0.0
64,parob1,14094972,14094972,100.0,0,0.0
65,parob,14094972,14094972,100.0,0,0.0
66,vrgng,14094972,14094972,100.0,0,0.0
67,hrkft,14094972,14094972,100.0,0,0.0
68,kstar,14094972,14094972,100.0,0,0.0
69,versn,14094972,14094972,100.0,0,0.0
70,wrttp,14094972,14094972,100.0,0,0.0
71,gjahr,14094972,14094972,100.0,0,0.0
72,objnr,14094972,14094972,100.0,0,0.0
73,lednr,14094972,14094972,100.0,0,0.0
74,mbgbtr,14094972,14094972,100.0,0,0.0
75,fkber,14094972,14094972,100.0,0,0.0
76,mefbtr,14094972,14094972,100.0,0,0.0
77,megbtr,14094972,14094972,100.0,0,0.0
78,pafbtr,14094972,14094972,100.0,0,0.0
79,pagbtr,14094972,14094972,100.0,0,0.0
80,wkfbtr,14094972,14094972,100.0,0,0.0
81,wkgbtr,14094972,14094972,100.0,0,0.0
82,wogbtr,14094972,14094972,100.0,0,0.0
83,wtgbtr,14094972,14094972,100.0,0,0.0
84,perio,14094972,14094972,100.0,0,0.0
85,buzei,14094972,14094972,100.0,0,0.0
86,belnr,14094972,14094972,100.0,0,0.0
87,kokrs,14094972,14094972,100.0,0,0.0
88,pargb,14094972,14094972,100.0,0,0.0
89,beknz,14094972,14094972,100.0,0,0.0
90,twaer,14094972,14094972,100.0,0,0.0
91,owaer,14094972,14094972,100.0,0,0.0
92,gsber,14094972,14094972,100.0,0,0.0
93,bukrs,14094972,14094972,100.0,0,0.0
94,beltp,14094972,14094972,100.0,0,0.0
95,paobjnr,14094972,14094972,100.0,0,0.0
96,objnr_n3,14094972,14094972,100.0,0,0.0
97,objnr_n2,14094972,14094972,100.0,0,0.0
98,objnr_n1,14094972,14094972,100.0,0,0.0
99,btrkl,14094972,14094972,100.0,0,0.0
100,pernr,14094972,14094972,100.0,0,0.0
101,erlkz,14094972,14094972,100.0,0,0.0
102,zekkn,14094972,14094972,100.0,0,0.0
103,ebelp,14094972,14094972,100.0,0,0.0
104,ebeln,14094972,14094972,100.0,0,0.0
105,rbest,14094972,14094972,100.0,0,0.0
106,matnr,14094972,14094972,100.0,0,0.0
107,werks,14094972,14094972,100.0,0,0.0
108,gkoar,14094972,14094972,100.0,0,0.0
109,gkont,14094972,14094972,100.0,0,0.0
110,bw_refbz,14094972,14094972,100.0,0,0.0
111,zlenr,14094972,14094972,100.0,0,0.0
112,refbz,14094972,14094972,100.0,0,0.0
113,sgtxt,14094972,14094972,100.0,0,0.0
114,mvflg,14094972,14094972,100.0,0,0.0
115,meinb,14094972,14094972,100.0,0,0.0
116,meinh,14094972,14094972,100.0,0,0.0
117,src_commit_time,14094972,14094972,100.0,0,0.0
