Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,50760,50760,100.0,0,0.0
2,fmwkv,50760,50760,100.0,0,0.0
3,fmmef,50760,50760,100.0,0,0.0
4,fmmev,50760,50760,100.0,0,0.0
5,fmmeg,50760,50760,100.0,0,0.0
6,kkart,50760,50760,100.0,0,0.0
7,kalnr,50760,50760,100.0,0,0.0
8,txflg,50760,50760,100.0,0,0.0
9,fcwkf,50760,50760,100.0,0,0.0
10,fcwkv,50760,50760,100.0,0,0.0
11,fcwkg,50760,50760,100.0,0,0.0
12,fcwof,50760,50760,100.0,0,0.0
13,fcwov,50760,50760,100.0,0,0.0
14,fcwog,50760,50760,100.0,0,0.0
15,fcwtf,50760,50760,100.0,0,0.0
16,fcwtv,50760,50760,100.0,0,0.0
17,fcwtg,50760,50760,100.0,0,0.0
18,fcmef,50760,50760,100.0,0,0.0
19,fcmev,50760,50760,100.0,0,0.0
20,fcmeg,50760,50760,100.0,0,0.0
21,fcrkf,50760,50760,100.0,0,0.0
22,fcrkv,50760,50760,100.0,0,0.0
23,fcrkg,50760,50760,100.0,0,0.0
24,fcrof,50760,50760,100.0,0,0.0
25,fcrov,50760,50760,100.0,0,0.0
26,fcrog,50760,50760,100.0,0,0.0
27,fcref,50760,50760,100.0,0,0.0
28,fcrev,50760,50760,100.0,0,0.0
29,fcreg,50760,50760,100.0,0,0.0
30,fmwkg,50760,50760,100.0,0,0.0
31,fmwkf,50760,50760,100.0,0,0.0
32,mandt,50760,50760,100.0,0,0.0
33,wsmeg,50760,50760,100.0,0,0.0
34,lednr,50760,50760,100.0,0,0.0
35,objnr,50760,50760,100.0,0,0.0
36,gjahr,50760,50760,100.0,0,0.0
37,wrttp,50760,50760,100.0,0,0.0
38,versn,50760,50760,100.0,0,0.0
39,kstar,50760,50760,100.0,0,0.0
40,hrkft,50760,50760,100.0,0,0.0
41,vrgng,50760,50760,100.0,0,0.0
42,vbund,50760,50760,100.0,0,0.0
43,pargb,50760,50760,100.0,0,0.0
44,beknz,50760,50760,100.0,0,0.0
45,twaer,50760,50760,100.0,0,0.0
46,rztyp,50760,50760,100.0,0,0.0
47,rzvar,50760,50760,100.0,0,0.0
48,rzmng,50760,50760,100.0,0,0.0
49,rstla,50760,50760,100.0,0,0.0
50,lkstar,50760,50760,100.0,0,0.0
51,rzkst,50760,50760,100.0,0,0.0
52,rstka,50760,50760,100.0,0,0.0
53,rzkoa,50760,50760,100.0,0,0.0
54,rzfkt,50760,50760,100.0,0,0.0
55,rzprz,50760,50760,100.0,0,0.0
56,wswkf,50760,50760,100.0,0,0.0
57,wswkv,50760,50760,100.0,0,0.0
58,wswkg,50760,50760,100.0,0,0.0
59,wsmef,50760,50760,100.0,0,0.0
60,wsmev,50760,50760,100.0,0,0.0
61,src_commit_time,50760,50760,100.0,0,0.0
