Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,54249,54249,100.0,0,0.0
2,tof007,54249,54249,100.0,0,0.0
3,tof005,54249,54249,100.0,0,0.0
4,tof004,54249,54249,100.0,0,0.0
5,tof003,54249,54249,100.0,0,0.0
6,tof002,54249,54249,100.0,0,0.0
7,tof001,54249,54249,100.0,0,0.0
8,tog016,54249,54249,100.0,0,0.0
9,tog015,54249,54249,100.0,0,0.0
10,tog014,54249,54249,100.0,0,0.0
11,tog013,54249,54249,100.0,0,0.0
12,tog012,54249,54249,100.0,0,0.0
13,tog011,54249,54249,100.0,0,0.0
14,tog010,54249,54249,100.0,0,0.0
15,tog009,54249,54249,100.0,0,0.0
16,tog008,54249,54249,100.0,0,0.0
17,tog007,54249,54249,100.0,0,0.0
18,tog006,54249,54249,100.0,0,0.0
19,tog005,54249,54249,100.0,0,0.0
20,tog004,54249,54249,100.0,0,0.0
21,tog003,54249,54249,100.0,0,0.0
22,tog002,54249,54249,100.0,0,0.0
23,tog001,54249,54249,100.0,0,0.0
24,tke016,54249,54249,100.0,0,0.0
25,tke015,54249,54249,100.0,0,0.0
26,tof006,54249,54249,100.0,0,0.0
27,tof008,54249,54249,100.0,0,0.0
28,tke013,54249,54249,100.0,0,0.0
29,tof009,54249,54249,100.0,0,0.0
30,toe016,54249,54249,100.0,0,0.0
31,toe015,54249,54249,100.0,0,0.0
32,toe014,54249,54249,100.0,0,0.0
33,toe013,54249,54249,100.0,0,0.0
34,toe012,54249,54249,100.0,0,0.0
35,toe011,54249,54249,100.0,0,0.0
36,toe010,54249,54249,100.0,0,0.0
37,toe009,54249,54249,100.0,0,0.0
38,toe008,54249,54249,100.0,0,0.0
39,toe007,54249,54249,100.0,0,0.0
40,toe006,54249,54249,100.0,0,0.0
41,toe005,54249,54249,100.0,0,0.0
42,toe004,54249,54249,100.0,0,0.0
43,toe003,54249,54249,100.0,0,0.0
44,toe002,54249,54249,100.0,0,0.0
45,toe001,54249,54249,100.0,0,0.0
46,tof016,54249,54249,100.0,0,0.0
47,tof015,54249,54249,100.0,0,0.0
48,tof014,54249,54249,100.0,0,0.0
49,tof013,54249,54249,100.0,0,0.0
50,tof012,54249,54249,100.0,0,0.0
51,tof011,54249,54249,100.0,0,0.0
52,tof010,54249,54249,100.0,0,0.0
53,tke014,54249,54249,100.0,0,0.0
54,tke012,54249,54249,100.0,0,0.0
55,mandt,54249,54249,100.0,0,0.0
56,tkf001,54249,54249,100.0,0,0.0
57,tkg015,54249,54249,100.0,0,0.0
58,tkg014,54249,54249,100.0,0,0.0
59,tkg013,54249,54249,100.0,0,0.0
60,tkg012,54249,54249,100.0,0,0.0
61,tkg011,54249,54249,100.0,0,0.0
62,tkg010,54249,54249,100.0,0,0.0
63,tkg009,54249,54249,100.0,0,0.0
64,tkg008,54249,54249,100.0,0,0.0
65,tkg007,54249,54249,100.0,0,0.0
66,tkg006,54249,54249,100.0,0,0.0
67,tkg005,54249,54249,100.0,0,0.0
68,tkg004,54249,54249,100.0,0,0.0
69,tkg003,54249,54249,100.0,0,0.0
70,tkg002,54249,54249,100.0,0,0.0
71,tkg001,54249,54249,100.0,0,0.0
72,vrgng,54249,54249,100.0,0,0.0
73,perbl,54249,54249,100.0,0,0.0
74,tarkz,54249,54249,100.0,0,0.0
75,versn,54249,54249,100.0,0,0.0
76,wrttp,54249,54249,100.0,0,0.0
77,gjahr,54249,54249,100.0,0,0.0
78,objnr,54249,54249,100.0,0,0.0
79,lednr,54249,54249,100.0,0,0.0
80,tkg016,54249,54249,100.0,0,0.0
81,tkf002,54249,54249,100.0,0,0.0
82,tke011,54249,54249,100.0,0,0.0
83,tkf003,54249,54249,100.0,0,0.0
84,tke010,54249,54249,100.0,0,0.0
85,tke009,54249,54249,100.0,0,0.0
86,tke008,54249,54249,100.0,0,0.0
87,tke007,54249,54249,100.0,0,0.0
88,tke006,54249,54249,100.0,0,0.0
89,tke005,54249,54249,100.0,0,0.0
90,tke004,54249,54249,100.0,0,0.0
91,tke003,54249,54249,100.0,0,0.0
92,tke002,54249,54249,100.0,0,0.0
93,tke001,54249,54249,100.0,0,0.0
94,tkf016,54249,54249,100.0,0,0.0
95,tkf015,54249,54249,100.0,0,0.0
96,tkf014,54249,54249,100.0,0,0.0
97,tkf013,54249,54249,100.0,0,0.0
98,tkf012,54249,54249,100.0,0,0.0
99,tkf011,54249,54249,100.0,0,0.0
100,tkf010,54249,54249,100.0,0,0.0
101,tkf009,54249,54249,100.0,0,0.0
102,tkf008,54249,54249,100.0,0,0.0
103,tkf007,54249,54249,100.0,0,0.0
104,tkf006,54249,54249,100.0,0,0.0
105,tkf005,54249,54249,100.0,0,0.0
106,tkf004,54249,54249,100.0,0,0.0
107,src_commit_time,54249,54249,100.0,0,0.0
