Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,11552654,11552654,100.0,0,0.0
2,rollname,11552654,11552654,100.0,0,0.0
3,ddlanguage,11552654,11552654,100.0,0,0.0
4,as4local,11552654,11552654,100.0,0,0.0
5,as4vers,11552654,11552654,100.0,0,0.0
6,ddtext,11552654,11552654,100.0,0,0.0
7,reptext,11552654,11552654,100.0,0,0.0
8,scrtext_s,11552654,11552654,100.0,0,0.0
9,scrtext_m,11552654,11552654,100.0,0,0.0
10,scrtext_l,11552654,11552654,100.0,0,0.0
11,src_commit_time,11552654,11552654,100.0,0,0.0
