Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,9996174,204596882,100.0,-218,-0.0
2,uzeit,9996174,204596882,100.0,-218,-0.0
3,wemng,9996174,204596882,100.0,-218,-0.0
4,ameng,9996174,204596882,100.0,-218,-0.0
5,estkz,9996174,204596882,100.0,-218,-0.0
6,sernr,9996174,204596882,100.0,-218,-0.0
7,etart,9996174,204596882,100.0,-218,-0.0
8,menge,9996174,204596882,100.0,-218,-0.0
9,lpein,9996174,204596882,100.0,-218,-0.0
10,mandt,9996174,204596882,100.0,-218,-0.0
11,eindt,9996174,204596882,100.0,-218,-0.0
12,etenr,9996174,204596882,100.0,-218,-0.0
13,abruf,9996174,204596882,100.0,-218,-0.0
14,abart,9996174,204596882,100.0,-218,-0.0
15,ebelp,9996174,204596882,100.0,-218,-0.0
16,ebeln,9996174,204596882,100.0,-218,-0.0
17,src_commit_time,9996174,204596882,100.0,-218,-0.0
