Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,1748015,1748015,100.0,0,0.0
2,mandt,1748015,1748015,100.0,0,0.0
3,fsh_vas_cg,1748015,1748015,100.0,0,0.0
4,vsart,1748015,1748015,100.0,0,0.0
5,spe_ext_id_item,1748015,1748015,100.0,0,0.0
6,spe_ext_id,1748015,1748015,100.0,0,0.0
7,spe_follow_up,1748015,1748015,100.0,0,0.0
8,spe_inspout_guid,1748015,1748015,100.0,0,0.0
9,spe_src_exidv,1748015,1748015,100.0,0,0.0
10,spe_src_dlv_no,1748015,1748015,100.0,0,0.0
11,spe_auth_number,1748015,1748015,100.0,0,0.0
12,tzonis,1748015,1748015,100.0,0,0.0
13,kzazu,1748015,1748015,100.0,0,0.0
14,ablad,1748015,1748015,100.0,0,0.0
15,tragr,1748015,1748015,100.0,0,0.0
16,ladgr,1748015,1748015,100.0,0,0.0
17,vsbed,1748015,1748015,100.0,0,0.0
18,spras,1748015,1748015,100.0,0,0.0
19,plifz,1748015,1748015,100.0,0,0.0
20,ledat,1748015,1748015,100.0,0,0.0
21,spart,1748015,1748015,100.0,0,0.0
22,vtweg,1748015,1748015,100.0,0,0.0
23,vkorg,1748015,1748015,100.0,0,0.0
24,spdnr,1748015,1748015,100.0,0,0.0
25,kunag,1748015,1748015,100.0,0,0.0
26,kunnr,1748015,1748015,100.0,0,0.0
27,route,1748015,1748015,100.0,0,0.0
28,lprio,1748015,1748015,100.0,0,0.0
29,vstel,1748015,1748015,100.0,0,0.0
30,ebelp,1748015,1748015,100.0,0,0.0
31,ebeln,1748015,1748015,100.0,0,0.0
32,src_commit_time,1748015,1748015,100.0,0,0.0
