Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,3238,3238,100.0,0,0.0
2,mandt,3238,3238,100.0,0,0.0
3,budat,3238,3238,100.0,0,0.0
4,lifnr,3238,3238,100.0,0,0.0
5,belnr,3238,3238,100.0,0,0.0
6,buzei,3238,3238,100.0,0,0.0
7,gjahr,3238,3238,100.0,0,0.0
8,ebeln,3238,3238,100.0,0,0.0
9,ebelp,3238,3238,100.0,0,0.0
10,bukrs,3238,3238,100.0,0,0.0
11,werks,3238,3238,100.0,0,0.0
12,lfgja,3238,3238,100.0,0,0.0
13,lfbnr,3238,3238,100.0,0,0.0
14,lfpos,3238,3238,100.0,0,0.0
15,src_commit_time,3238,3238,100.0,0,0.0
