Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,182,182,100.0,0,0.0
2,mandt,182,182,100.0,0,0.0
3,plifz,182,182,100.0,0,0.0
4,ematn,182,182,100.0,0,0.0
5,preih,182,182,100.0,0,0.0
6,abanz,182,182,100.0,0,0.0
7,abper,182,182,100.0,0,0.0
8,abrmg,182,182,100.0,0,0.0
9,kzein,182,182,100.0,0,0.0
10,rdprf,182,182,100.0,0,0.0
11,minls,182,182,100.0,0,0.0
12,maxls,182,182,100.0,0,0.0
13,verid,182,182,100.0,0,0.0
14,maxmg,182,182,100.0,0,0.0
15,qumng,182,182,100.0,0,0.0
16,qubmg,182,182,100.0,0,0.0
17,quote,182,182,100.0,0,0.0
18,bewrk,182,182,100.0,0,0.0
19,lifnr,182,182,100.0,0,0.0
20,sobes,182,182,100.0,0,0.0
21,beskz,182,182,100.0,0,0.0
22,qupos,182,182,100.0,0,0.0
23,qunum,182,182,100.0,0,0.0
24,src_commit_time,182,182,100.0,0,0.0
