Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,67739,67739,100.0,0,0.0
2,mandt,67739,67739,100.0,0,0.0
3,gewrki,67739,67739,100.0,0,0.0
4,tidnr,67739,67739,100.0,0,0.0
5,tidnri,67739,67739,100.0,0,0.0
6,iloan,67739,67739,100.0,0,0.0
7,kund1,67739,67739,100.0,0,0.0
8,kund2,67739,67739,100.0,0,0.0
9,kund3,67739,67739,100.0,0,0.0
10,liznr,67739,67739,100.0,0,0.0
11,rbnr,67739,67739,100.0,0,0.0
12,ezdat,67739,67739,100.0,0,0.0
13,ezber,67739,67739,100.0,0,0.0
14,eznum,67739,67739,100.0,0,0.0
15,rbnr_i,67739,67739,100.0,0,0.0
16,iblnr,67739,67739,100.0,0,0.0
17,bldat,67739,67739,100.0,0,0.0
18,pvs_focus,67739,67739,100.0,0,0.0
19,ppeguid,67739,67739,100.0,0,0.0
20,techs,67739,67739,100.0,0,0.0
21,funcid,67739,67739,100.0,0,0.0
22,frcfit,67739,67739,100.0,0,0.0
23,frcrmv,67739,67739,100.0,0,0.0
24,gewrk,67739,67739,100.0,0,0.0
25,pm_objty,67739,67739,100.0,0,0.0
26,ingrpi,67739,67739,100.0,0,0.0
27,estai,67739,67739,100.0,0,0.0
28,equnr,67739,67739,100.0,0,0.0
29,datbi,67739,67739,100.0,0,0.0
30,eqlfn,67739,67739,100.0,0,0.0
31,equzn,67739,67739,100.0,0,0.0
32,erdat,67739,67739,100.0,0,0.0
33,ernam,67739,67739,100.0,0,0.0
34,aedat,67739,67739,100.0,0,0.0
35,aenam,67739,67739,100.0,0,0.0
36,timbi,67739,67739,100.0,0,0.0
37,estae,67739,67739,100.0,0,0.0
38,ingrp,67739,67739,100.0,0,0.0
39,stnam,67739,67739,100.0,0,0.0
40,lvorm,67739,67739,100.0,0,0.0
41,datab,67739,67739,100.0,0,0.0
42,iwerk,67739,67739,100.0,0,0.0
43,iwerki,67739,67739,100.0,0,0.0
44,submt,67739,67739,100.0,0,0.0
45,mapar,67739,67739,100.0,0,0.0
46,hequi,67739,67739,100.0,0,0.0
47,heqnr,67739,67739,100.0,0,0.0
48,src_commit_time,67739,67739,100.0,0,0.0
