Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,14920,14920,100.0,0,0.0
2,banfn,14920,14920,100.0,0,0.0
3,frgrl,14920,14920,100.0,0,0.0
4,f_lock,14920,14920,100.0,0,0.0
5,pwwe,14920,14920,100.0,0,0.0
6,pwfr,14920,14920,100.0,0,0.0
7,bldat,14920,14920,100.0,0,0.0
8,budat,14920,14920,100.0,0,0.0
9,xblnr,14920,14920,100.0,0,0.0
10,bktxt,14920,14920,100.0,0,0.0
11,knttp,14920,14920,100.0,0,0.0
12,kzvbr,14920,14920,100.0,0,0.0
13,netwr,14920,14920,100.0,0,0.0
14,bnfpo,14920,14920,100.0,0,0.0
15,mandt,14920,14920,100.0,0,0.0
16,warpl,14920,14920,100.0,0,0.0
17,wapos,14920,14920,100.0,0,0.0
18,abnum,14920,14920,100.0,0,0.0
19,fknum,14920,14920,100.0,0,0.0
20,fkpos,14920,14920,100.0,0,0.0
21,user1,14920,14920,100.0,0,0.0
22,user2,14920,14920,100.0,0,0.0
23,navnw,14920,14920,100.0,0,0.0
24,spec_no,14920,14920,100.0,0,0.0
25,cuobj,14920,14920,100.0,0,0.0
26,lemin,14920,14920,100.0,0,0.0
27,frgzu,14920,14920,100.0,0,0.0
28,frgkl,14920,14920,100.0,0,0.0
29,frgsx,14920,14920,100.0,0,0.0
30,frggr,14920,14920,100.0,0,0.0
31,lblni,14920,14920,100.0,0,0.0
32,lblne,14920,14920,100.0,0,0.0
33,ernam,14920,14920,100.0,0,0.0
34,erdat,14920,14920,100.0,0,0.0
35,aedat,14920,14920,100.0,0,0.0
36,aenam,14920,14920,100.0,0,0.0
37,sbnamag,14920,14920,100.0,0,0.0
38,sbnaman,14920,14920,100.0,0,0.0
39,dlort,14920,14920,100.0,0,0.0
40,lbldt,14920,14920,100.0,0,0.0
41,lzvon,14920,14920,100.0,0,0.0
42,lzbis,14920,14920,100.0,0,0.0
43,lwert,14920,14920,100.0,0,0.0
44,uwert,14920,14920,100.0,0,0.0
45,unplv,14920,14920,100.0,0,0.0
46,waers,14920,14920,100.0,0,0.0
47,packno,14920,14920,100.0,0,0.0
48,txz01,14920,14920,100.0,0,0.0
49,ebeln,14920,14920,100.0,0,0.0
50,ebelp,14920,14920,100.0,0,0.0
51,loekz,14920,14920,100.0,0,0.0
52,kzabn,14920,14920,100.0,0,0.0
53,final,14920,14920,100.0,0,0.0
54,src_commit_time,14920,14920,100.0,0,0.0
