Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,rclnt,24414281,24414281,100.0,0,0.0
2,ksl07,24414281,24414281,100.0,0,0.0
3,osl03,24414281,24414281,100.0,0,0.0
4,osl02,24414281,24414281,100.0,0,0.0
5,osl01,24414281,24414281,100.0,0,0.0
6,oslvt,24414281,24414281,100.0,0,0.0
7,ksl16,24414281,24414281,100.0,0,0.0
8,ksl15,24414281,24414281,100.0,0,0.0
9,ksl14,24414281,24414281,100.0,0,0.0
10,ksl13,24414281,24414281,100.0,0,0.0
11,ksl12,24414281,24414281,100.0,0,0.0
12,ksl11,24414281,24414281,100.0,0,0.0
13,ksl10,24414281,24414281,100.0,0,0.0
14,ksl09,24414281,24414281,100.0,0,0.0
15,ksl08,24414281,24414281,100.0,0,0.0
16,ksl06,24414281,24414281,100.0,0,0.0
17,ryear,24414281,24414281,100.0,0,0.0
18,ksl05,24414281,24414281,100.0,0,0.0
19,ksl04,24414281,24414281,100.0,0,0.0
20,ksl03,24414281,24414281,100.0,0,0.0
21,ksl02,24414281,24414281,100.0,0,0.0
22,ksl01,24414281,24414281,100.0,0,0.0
23,kslvt,24414281,24414281,100.0,0,0.0
24,hsl16,24414281,24414281,100.0,0,0.0
25,hsl15,24414281,24414281,100.0,0,0.0
26,hsl14,24414281,24414281,100.0,0,0.0
27,hsl13,24414281,24414281,100.0,0,0.0
28,hsl12,24414281,24414281,100.0,0,0.0
29,hsl11,24414281,24414281,100.0,0,0.0
30,hsl10,24414281,24414281,100.0,0,0.0
31,osl04,24414281,24414281,100.0,0,0.0
32,osl05,24414281,24414281,100.0,0,0.0
33,osl06,24414281,24414281,100.0,0,0.0
34,osl07,24414281,24414281,100.0,0,0.0
35,timestamp,24414281,24414281,100.0,0,0.0
36,msl16,24414281,24414281,100.0,0,0.0
37,msl15,24414281,24414281,100.0,0,0.0
38,msl14,24414281,24414281,100.0,0,0.0
39,msl13,24414281,24414281,100.0,0,0.0
40,msl12,24414281,24414281,100.0,0,0.0
41,msl11,24414281,24414281,100.0,0,0.0
42,msl10,24414281,24414281,100.0,0,0.0
43,msl09,24414281,24414281,100.0,0,0.0
44,msl08,24414281,24414281,100.0,0,0.0
45,msl07,24414281,24414281,100.0,0,0.0
46,msl06,24414281,24414281,100.0,0,0.0
47,msl05,24414281,24414281,100.0,0,0.0
48,msl04,24414281,24414281,100.0,0,0.0
49,msl03,24414281,24414281,100.0,0,0.0
50,msl02,24414281,24414281,100.0,0,0.0
51,msl01,24414281,24414281,100.0,0,0.0
52,mslvt,24414281,24414281,100.0,0,0.0
53,osl16,24414281,24414281,100.0,0,0.0
54,osl15,24414281,24414281,100.0,0,0.0
55,osl14,24414281,24414281,100.0,0,0.0
56,osl13,24414281,24414281,100.0,0,0.0
57,osl12,24414281,24414281,100.0,0,0.0
58,osl11,24414281,24414281,100.0,0,0.0
59,osl10,24414281,24414281,100.0,0,0.0
60,osl09,24414281,24414281,100.0,0,0.0
61,osl08,24414281,24414281,100.0,0,0.0
62,hsl09,24414281,24414281,100.0,0,0.0
63,hsl08,24414281,24414281,100.0,0,0.0
64,hsl07,24414281,24414281,100.0,0,0.0
65,segment,24414281,24414281,100.0,0,0.0
66,rbusa,24414281,24414281,100.0,0,0.0
67,rfarea,24414281,24414281,100.0,0,0.0
68,prctr,24414281,24414281,100.0,0,0.0
69,rcntr,24414281,24414281,100.0,0,0.0
70,rbukrs,24414281,24414281,100.0,0,0.0
71,cost_elem,24414281,24414281,100.0,0,0.0
72,racct,24414281,24414281,100.0,0,0.0
73,logsys,24414281,24414281,100.0,0,0.0
74,rvers,24414281,24414281,100.0,0,0.0
75,rrcty,24414281,24414281,100.0,0,0.0
76,rldnr,24414281,24414281,100.0,0,0.0
77,awtyp,24414281,24414281,100.0,0,0.0
78,runit,24414281,24414281,100.0,0,0.0
79,rtcur,24414281,24414281,100.0,0,0.0
80,rmvct,24414281,24414281,100.0,0,0.0
81,activ,24414281,24414281,100.0,0,0.0
82,rpmax,24414281,24414281,100.0,0,0.0
83,drcrk,24414281,24414281,100.0,0,0.0
84,objnr08,24414281,24414281,100.0,0,0.0
85,objnr07,24414281,24414281,100.0,0,0.0
86,objnr06,24414281,24414281,100.0,0,0.0
87,objnr05,24414281,24414281,100.0,0,0.0
88,objnr04,24414281,24414281,100.0,0,0.0
89,objnr03,24414281,24414281,100.0,0,0.0
90,objnr02,24414281,24414281,100.0,0,0.0
91,objnr01,24414281,24414281,100.0,0,0.0
92,objnr00,24414281,24414281,100.0,0,0.0
93,kokrs,24414281,24414281,100.0,0,0.0
94,scntr,24414281,24414281,100.0,0,0.0
95,hsl06,24414281,24414281,100.0,0,0.0
96,pprctr,24414281,24414281,100.0,0,0.0
97,hsl05,24414281,24414281,100.0,0,0.0
98,hsl04,24414281,24414281,100.0,0,0.0
99,hsl03,24414281,24414281,100.0,0,0.0
100,hsl02,24414281,24414281,100.0,0,0.0
101,hsl01,24414281,24414281,100.0,0,0.0
102,hslvt,24414281,24414281,100.0,0,0.0
103,tsl16,24414281,24414281,100.0,0,0.0
104,tsl15,24414281,24414281,100.0,0,0.0
105,tsl14,24414281,24414281,100.0,0,0.0
106,tsl13,24414281,24414281,100.0,0,0.0
107,tsl12,24414281,24414281,100.0,0,0.0
108,tsl11,24414281,24414281,100.0,0,0.0
109,tsl10,24414281,24414281,100.0,0,0.0
110,tsl09,24414281,24414281,100.0,0,0.0
111,tsl08,24414281,24414281,100.0,0,0.0
112,tsl07,24414281,24414281,100.0,0,0.0
113,tsl06,24414281,24414281,100.0,0,0.0
114,tsl05,24414281,24414281,100.0,0,0.0
115,tsl04,24414281,24414281,100.0,0,0.0
116,tsl03,24414281,24414281,100.0,0,0.0
117,tsl02,24414281,24414281,100.0,0,0.0
118,tsl01,24414281,24414281,100.0,0,0.0
119,tslvt,24414281,24414281,100.0,0,0.0
120,psegment,24414281,24414281,100.0,0,0.0
121,rassc,24414281,24414281,100.0,0,0.0
122,sbusa,24414281,24414281,100.0,0,0.0
123,sfarea,24414281,24414281,100.0,0,0.0
124,src_commit_time,24414281,24414281,100.0,0,0.0
