Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,954526,954526,100.0,0,0.0
2,pst,954526,954526,100.0,0,0.0
3,pfcpstret,954526,954526,100.0,0,0.0
4,vfcpstret,954526,954526,100.0,0,0.0
5,vbcstdest,954526,954526,100.0,0,0.0
6,vicmsstdest,954526,954526,100.0,0,0.0
7,indescala,954526,954526,100.0,0,0.0
8,cnpjfab,954526,954526,100.0,0,0.0
9,cbenef,954526,954526,100.0,0,0.0
10,predbcefet,954526,954526,100.0,0,0.0
11,vbcefet,954526,954526,100.0,0,0.0
12,picmsefet,954526,954526,100.0,0,0.0
13,vicmsefet,954526,954526,100.0,0,0.0
14,xprod,954526,954526,100.0,0,0.0
15,tax_info_source,954526,954526,100.0,0,0.0
16,tax_rate,954526,954526,100.0,0,0.0
17,vicmssubstituto,954526,954526,100.0,0,0.0
18,vbcfcpstret,954526,954526,100.0,0,0.0
19,utrib,954526,954526,100.0,0,0.0
20,viof,954526,954526,100.0,0,0.0
21,cean_trib,954526,954526,100.0,0,0.0
22,qselo,954526,954526,100.0,0,0.0
23,cenq,954526,954526,100.0,0,0.0
24,num_item,954526,954526,100.0,0,0.0
25,ind_mov,954526,954526,100.0,0,0.0
26,cod_cta,954526,954526,100.0,0,0.0
27,nrecopi,954526,954526,100.0,0,0.0
28,indincentivo,954526,954526,100.0,0,0.0
29,vicmsdeson,954526,954526,100.0,0,0.0
30,nficmsdeson,954526,954526,100.0,0,0.0
31,vicmsdif,954526,954526,100.0,0,0.0
32,vicmsstret,954526,954526,100.0,0,0.0
33,vbcstret,954526,954526,100.0,0,0.0
34,meins_trib,954526,954526,100.0,0,0.0
35,menge_trib,954526,954526,100.0,0,0.0
36,cest,954526,954526,100.0,0,0.0
37,vdespadu,954526,954526,100.0,0,0.0
38,vtottrib,954526,954526,100.0,0,0.0
39,mandt,954526,954526,100.0,0,0.0
40,reinf_service_code,954526,954526,100.0,0,0.0
41,cbarra,954526,954526,100.0,0,0.0
42,cbarra_trib,954526,954526,100.0,0,0.0
43,vicmsstdeson,954526,954526,100.0,0,0.0
44,motdesicmsst,954526,954526,100.0,0,0.0
45,pdif,954526,954526,100.0,0,0.0
46,vfcpdif,954526,954526,100.0,0,0.0
47,pfcpdef,954526,954526,100.0,0,0.0
48,pfcpdif,954526,954526,100.0,0,0.0
49,cofinsst,954526,954526,100.0,0,0.0
50,pisst,954526,954526,100.0,0,0.0
51,indsomacofinsst,954526,954526,100.0,0,0.0
52,indsomapisst,954526,954526,100.0,0,0.0
53,nfcofinsst,954526,954526,100.0,0,0.0
54,nfpisst,954526,954526,100.0,0,0.0
55,excluded_icms_from_piscofins,954526,954526,100.0,0,0.0
56,ind_nat_frt,954526,954526,100.0,0,0.0
57,cprb,954526,954526,100.0,0,0.0
58,nfci,954526,954526,100.0,0,0.0
59,picmsdef,954526,954526,100.0,0,0.0
60,kostl,954526,954526,100.0,0,0.0
61,aufnr,954526,954526,100.0,0,0.0
62,prctr,954526,954526,100.0,0,0.0
63,ps_psp_pnr,954526,954526,100.0,0,0.0
64,kstrg,954526,954526,100.0,0,0.0
65,nplnr,954526,954526,100.0,0,0.0
66,segment,954526,954526,100.0,0,0.0
67,pipidevol,954526,954526,100.0,0,0.0
68,nprocesso,954526,954526,100.0,0,0.0
69,nat_bc_cred,954526,954526,100.0,0,0.0
70,cod_cta_pis,954526,954526,100.0,0,0.0
71,cod_cta_cofins,954526,954526,100.0,0,0.0
72,cbenef_iss,954526,954526,100.0,0,0.0
73,ststcl_vicmsdeson,954526,954526,100.0,0,0.0
74,p_mvast,954526,954526,100.0,0,0.0
75,cselo,954526,954526,100.0,0,0.0
76,clenq,954526,954526,100.0,0,0.0
77,motdesicms,954526,954526,100.0,0,0.0
78,reftyp,954526,954526,100.0,0,0.0
79,refitm,954526,954526,100.0,0,0.0
80,menge,954526,954526,100.0,0,0.0
81,meins,954526,954526,100.0,0,0.0
82,netpr,954526,954526,100.0,0,0.0
83,netwr,954526,954526,100.0,0,0.0
84,taxlw1,954526,954526,100.0,0,0.0
85,taxlw2,954526,954526,100.0,0,0.0
86,tmiss,954526,954526,100.0,0,0.0
87,netfre,954526,954526,100.0,0,0.0
88,netins,954526,954526,100.0,0,0.0
89,netoth,954526,954526,100.0,0,0.0
90,indus3,954526,954526,100.0,0,0.0
91,itmtyp,954526,954526,100.0,0,0.0
92,netdis,954526,954526,100.0,0,0.0
93,spcsto,954526,954526,100.0,0,0.0
94,refkey,954526,954526,100.0,0,0.0
95,matuse,954526,954526,100.0,0,0.0
96,modbcst,954526,954526,100.0,0,0.0
97,ownpro,954526,954526,100.0,0,0.0
98,docnum,954526,954526,100.0,0,0.0
99,itmnum,954526,954526,100.0,0,0.0
100,matnr,954526,954526,100.0,0,0.0
101,bwkey,954526,954526,100.0,0,0.0
102,bwtar,954526,954526,100.0,0,0.0
103,charg,954526,954526,100.0,0,0.0
104,matkl,954526,954526,100.0,0,0.0
105,maktx,954526,954526,100.0,0,0.0
106,docref,954526,954526,100.0,0,0.0
107,itmref,954526,954526,100.0,0,0.0
108,cfop,954526,954526,100.0,0,0.0
109,nbm,954526,954526,100.0,0,0.0
110,matorg,954526,954526,100.0,0,0.0
111,taxsit,954526,954526,100.0,0,0.0
112,taxsi2,954526,954526,100.0,0,0.0
113,incltx,954526,954526,100.0,0,0.0
114,statit,954526,954526,100.0,0,0.0
115,werks,954526,954526,100.0,0,0.0
116,direct,954526,954526,100.0,0,0.0
117,taxlw3,954526,954526,100.0,0,0.0
118,srvnr,954526,954526,100.0,0,0.0
119,taxsi3,954526,954526,100.0,0,0.0
120,taxlw4,954526,954526,100.0,0,0.0
121,taxsi4,954526,954526,100.0,0,0.0
122,taxlw5,954526,954526,100.0,0,0.0
123,taxsi5,954526,954526,100.0,0,0.0
124,reftyp_prev,954526,954526,100.0,0,0.0
125,refkey_prev,954526,954526,100.0,0,0.0
126,refitm_prev,954526,954526,100.0,0,0.0
127,nbs,954526,954526,100.0,0,0.0
128,cean,954526,954526,100.0,0,0.0
129,xped,954526,954526,100.0,0,0.0
130,nitemped,954526,954526,100.0,0,0.0
131,modbc,954526,954526,100.0,0,0.0
132,subtvalp,954526,954526,100.0,0,0.0
133,icmsvalp,954526,954526,100.0,0,0.0
134,lppbrt,954526,954526,100.0,0,0.0
135,nfins,954526,954526,100.0,0,0.0
136,dstcat,954526,954526,100.0,0,0.0
137,indus2,954526,954526,100.0,0,0.0
138,nfpri,954526,954526,100.0,0,0.0
139,nfnet,954526,954526,100.0,0,0.0
140,nfdis,954526,954526,100.0,0,0.0
141,nffre,954526,954526,100.0,0,0.0
142,nfoth,954526,954526,100.0,0,0.0
143,lppnet,954526,954526,100.0,0,0.0
144,netwrt,954526,954526,100.0,0,0.0
145,nfnett,954526,954526,100.0,0,0.0
146,mwskz,954526,954526,100.0,0,0.0
147,kalsm,954526,954526,100.0,0,0.0
148,icmsavr,954526,954526,100.0,0,0.0
149,subtavr,954526,954526,100.0,0,0.0
150,src_commit_time,954526,954526,100.0,0,0.0
