Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,3414,3414,100.0,0,0.0
2,j_1ipanno,3414,3414,100.0,0,0.0
3,aadhaar_no,3414,3414,100.0,0,0.0
4,gst_tds,3414,3414,100.0,0,0.0
5,j_1ipanref,3414,3414,100.0,0,0.0
6,j_1isern,3414,3414,100.0,0,0.0
7,usnam,3414,3414,100.0,0,0.0
8,aedat,3414,3414,100.0,0,0.0
9,j_1iexcicu,3414,3414,100.0,0,0.0
10,j_1ilstno,3414,3414,100.0,0,0.0
11,mandt,3414,3414,100.0,0,0.0
12,j_1icstno,3414,3414,100.0,0,0.0
13,j_1iexco,3414,3414,100.0,0,0.0
14,j_1iexdi,3414,3414,100.0,0,0.0
15,j_1iexrg,3414,3414,100.0,0,0.0
16,j_1iexrn,3414,3414,100.0,0,0.0
17,j_1iexcd,3414,3414,100.0,0,0.0
18,kunnr,3414,3414,100.0,0,0.0
19,src_commit_time,3414,3414,100.0,0,0.0
