Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2949,2949,100.0,0,0.0
2,loss_factor,2949,2949,100.0,0,0.0
3,min_storage,2949,2949,100.0,0,0.0
4,storage_capable,2949,2949,100.0,0,0.0
5,lc_days_plus,2949,2949,100.0,0,0.0
6,lc_days_minus,2949,2949,100.0,0,0.0
7,define_buckets,2949,2949,100.0,0,0.0
8,sync_start,2949,2949,100.0,0,0.0
9,sort,2949,2949,100.0,0,0.0
10,min_overlap_unit,2949,2949,100.0,0,0.0
11,storage_unit,2949,2949,100.0,0,0.0
12,min_overlap,2949,2949,100.0,0,0.0
13,start_on_grid,2949,2949,100.0,0,0.0
14,overlap_buckets,2949,2949,100.0,0,0.0
15,underload,2949,2949,100.0,0,0.0
16,is_bottleneck,2949,2949,100.0,0,0.0
17,buffertime_unit,2949,2949,100.0,0,0.0
18,buffertime,2949,2949,100.0,0,0.0
19,max_storage,2949,2949,100.0,0,0.0
20,dim_storage,2949,2949,100.0,0,0.0
21,mandt,2949,2949,100.0,0,0.0
22,br_time,2949,2949,100.0,0,0.0
23,mix_plan_type,2949,2949,100.0,0,0.0
24,pp_bucket_fact,2949,2949,100.0,0,0.0
25,pp_bucket_schema,2949,2949,100.0,0,0.0
26,pp_def_buckets,2949,2949,100.0,0,0.0
27,mdrmodel,2949,2949,100.0,0,0.0
28,ritt_flg,2949,2949,100.0,0,0.0
29,br_tunit,2949,2949,100.0,0,0.0
30,br_qunit,2949,2949,100.0,0,0.0
31,storage_to_zero,2949,2949,100.0,0,0.0
32,br_quant,2949,2949,100.0,0,0.0
33,finity_level,2949,2949,100.0,0,0.0
34,tstream_external,2949,2949,100.0,0,0.0
35,campaign_snp,2949,2949,100.0,0,0.0
36,campaign_ppds,2949,2949,100.0,0,0.0
37,util_bucket,2949,2949,100.0,0,0.0
38,snplc,2949,2949,100.0,0,0.0
39,period,2949,2949,100.0,0,0.0
40,num_of_periods,2949,2949,100.0,0,0.0
41,capacity_a_unit,2949,2949,100.0,0,0.0
42,kalid,2949,2949,100.0,0,0.0
43,planr,2949,2949,100.0,0,0.0
44,pause,2949,2949,100.0,0,0.0
45,ngrad,2949,2949,100.0,0,0.0
46,name,2949,2949,100.0,0,0.0
47,mosid,2949,2949,100.0,0,0.0
48,meins,2949,2949,100.0,0,0.0
49,kapar,2949,2949,100.0,0,0.0
50,endzt,2949,2949,100.0,0,0.0
51,capacity_a,2949,2949,100.0,0,0.0
52,brgru,2949,2949,100.0,0,0.0
53,begzt,2949,2949,100.0,0,0.0
54,baszl,2949,2949,100.0,0,0.0
55,basne,2949,2949,100.0,0,0.0
56,aznor,2949,2949,100.0,0,0.0
57,azmax,2949,2949,100.0,0,0.0
58,kapid,2949,2949,100.0,0,0.0
59,poolk,2949,2949,100.0,0,0.0
60,refan,2949,2949,100.0,0,0.0
61,refaz,2949,2949,100.0,0,0.0
62,refid,2949,2949,100.0,0,0.0
63,restype,2949,2949,100.0,0,0.0
64,type,2949,2949,100.0,0,0.0
65,ang_max,2949,2949,100.0,0,0.0
66,ang_min,2949,2949,100.0,0,0.0
67,ang_unit,2949,2949,100.0,0,0.0
68,mehr,2949,2949,100.0,0,0.0
69,kapeh,2949,2949,100.0,0,0.0
70,kaplpl,2949,2949,100.0,0,0.0
71,ueberlast,2949,2949,100.0,0,0.0
72,kapavo,2949,2949,100.0,0,0.0
73,kapter,2949,2949,100.0,0,0.0
74,kapie,2949,2949,100.0,0,0.0
75,werks,2949,2949,100.0,0,0.0
76,versa,2949,2949,100.0,0,0.0
77,suppk,2949,2949,100.0,0,0.0
78,src_commit_time,2949,2949,100.0,0,0.0
