Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,15049,15049,100.0,0,0.0
2,mandt,15049,15049,100.0,0,0.0
3,kapid,15049,15049,100.0,0,0.0
4,versn,15049,15049,100.0,0,0.0
5,datub,15049,15049,100.0,0,0.0
6,anzhl,15049,15049,100.0,0,0.0
7,anzsh,15049,15049,100.0,0,0.0
8,anztg,15049,15049,100.0,0,0.0
9,fabtg,15049,15049,100.0,0,0.0
10,ngrad,15049,15049,100.0,0,0.0
11,sprog,15049,15049,100.0,0,0.0
12,wotag,15049,15049,100.0,0,0.0
13,kkopf,15049,15049,100.0,0,0.0
14,first,15049,15049,100.0,0,0.0
15,src_commit_time,15049,15049,100.0,0,0.0
