Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,75519,75519,100.0,0,0.0
2,anz10,75519,75519,100.0,0,0.0
3,agn12,75519,75519,100.0,0,0.0
4,vzs12,75519,75519,100.0,0,0.0
5,ags12,75519,75519,100.0,0,0.0
6,mon12,75519,75519,100.0,0,0.0
7,jah12,75519,75519,100.0,0,0.0
8,anz11,75519,75519,100.0,0,0.0
9,vzn11,75519,75519,100.0,0,0.0
10,agn11,75519,75519,100.0,0,0.0
11,vzs11,75519,75519,100.0,0,0.0
12,ags11,75519,75519,100.0,0,0.0
13,mon11,75519,75519,100.0,0,0.0
14,jah11,75519,75519,100.0,0,0.0
15,vzn10,75519,75519,100.0,0,0.0
16,anz12,75519,75519,100.0,0,0.0
17,agn10,75519,75519,100.0,0,0.0
18,vzs10,75519,75519,100.0,0,0.0
19,ags10,75519,75519,100.0,0,0.0
20,mon10,75519,75519,100.0,0,0.0
21,jah10,75519,75519,100.0,0,0.0
22,anz09,75519,75519,100.0,0,0.0
23,vzn09,75519,75519,100.0,0,0.0
24,agn09,75519,75519,100.0,0,0.0
25,vzs09,75519,75519,100.0,0,0.0
26,ags09,75519,75519,100.0,0,0.0
27,mon09,75519,75519,100.0,0,0.0
28,jah09,75519,75519,100.0,0,0.0
29,vzn12,75519,75519,100.0,0,0.0
30,jah13,75519,75519,100.0,0,0.0
31,mandt,75519,75519,100.0,0,0.0
32,mon15,75519,75519,100.0,0,0.0
33,anz16,75519,75519,100.0,0,0.0
34,vzn16,75519,75519,100.0,0,0.0
35,agn16,75519,75519,100.0,0,0.0
36,vzs16,75519,75519,100.0,0,0.0
37,ags16,75519,75519,100.0,0,0.0
38,mon16,75519,75519,100.0,0,0.0
39,jah16,75519,75519,100.0,0,0.0
40,anz15,75519,75519,100.0,0,0.0
41,vzn15,75519,75519,100.0,0,0.0
42,agn15,75519,75519,100.0,0,0.0
43,vzs15,75519,75519,100.0,0,0.0
44,ags15,75519,75519,100.0,0,0.0
45,jah15,75519,75519,100.0,0,0.0
46,mon13,75519,75519,100.0,0,0.0
47,anz14,75519,75519,100.0,0,0.0
48,vzn14,75519,75519,100.0,0,0.0
49,agn14,75519,75519,100.0,0,0.0
50,vzs14,75519,75519,100.0,0,0.0
51,ags14,75519,75519,100.0,0,0.0
52,mon14,75519,75519,100.0,0,0.0
53,jah14,75519,75519,100.0,0,0.0
54,anz13,75519,75519,100.0,0,0.0
55,vzn13,75519,75519,100.0,0,0.0
56,agn13,75519,75519,100.0,0,0.0
57,vzs13,75519,75519,100.0,0,0.0
58,ags13,75519,75519,100.0,0,0.0
59,anz08,75519,75519,100.0,0,0.0
60,vzn08,75519,75519,100.0,0,0.0
61,agn08,75519,75519,100.0,0,0.0
62,vzs02,75519,75519,100.0,0,0.0
63,mon04,75519,75519,100.0,0,0.0
64,jah04,75519,75519,100.0,0,0.0
65,anz03,75519,75519,100.0,0,0.0
66,vzn03,75519,75519,100.0,0,0.0
67,agn03,75519,75519,100.0,0,0.0
68,vzs03,75519,75519,100.0,0,0.0
69,ags03,75519,75519,100.0,0,0.0
70,mon03,75519,75519,100.0,0,0.0
71,jah03,75519,75519,100.0,0,0.0
72,anz02,75519,75519,100.0,0,0.0
73,vzn02,75519,75519,100.0,0,0.0
74,agn02,75519,75519,100.0,0,0.0
75,ags02,75519,75519,100.0,0,0.0
76,vzs08,75519,75519,100.0,0,0.0
77,mon02,75519,75519,100.0,0,0.0
78,jah02,75519,75519,100.0,0,0.0
79,anz01,75519,75519,100.0,0,0.0
80,vzn01,75519,75519,100.0,0,0.0
81,agn01,75519,75519,100.0,0,0.0
82,vzs01,75519,75519,100.0,0,0.0
83,ags01,75519,75519,100.0,0,0.0
84,mon01,75519,75519,100.0,0,0.0
85,jah01,75519,75519,100.0,0,0.0
86,aufzd,75519,75519,100.0,0,0.0
87,bukrs,75519,75519,100.0,0,0.0
88,kunnr,75519,75519,100.0,0,0.0
89,ags04,75519,75519,100.0,0,0.0
90,vzs04,75519,75519,100.0,0,0.0
91,agn04,75519,75519,100.0,0,0.0
92,vzn04,75519,75519,100.0,0,0.0
93,ags08,75519,75519,100.0,0,0.0
94,mon08,75519,75519,100.0,0,0.0
95,jah08,75519,75519,100.0,0,0.0
96,anz07,75519,75519,100.0,0,0.0
97,vzn07,75519,75519,100.0,0,0.0
98,agn07,75519,75519,100.0,0,0.0
99,vzs07,75519,75519,100.0,0,0.0
100,ags07,75519,75519,100.0,0,0.0
101,mon07,75519,75519,100.0,0,0.0
102,jah07,75519,75519,100.0,0,0.0
103,anz06,75519,75519,100.0,0,0.0
104,vzn06,75519,75519,100.0,0,0.0
105,agn06,75519,75519,100.0,0,0.0
106,vzs06,75519,75519,100.0,0,0.0
107,ags06,75519,75519,100.0,0,0.0
108,mon06,75519,75519,100.0,0,0.0
109,jah06,75519,75519,100.0,0,0.0
110,anz05,75519,75519,100.0,0,0.0
111,vzn05,75519,75519,100.0,0,0.0
112,agn05,75519,75519,100.0,0,0.0
113,vzs05,75519,75519,100.0,0,0.0
114,ags05,75519,75519,100.0,0,0.0
115,mon05,75519,75519,100.0,0,0.0
116,jah05,75519,75519,100.0,0,0.0
117,anz04,75519,75519,100.0,0,0.0
118,src_commit_time,75519,75519,100.0,0,0.0
