Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,187450,187450,100.0,0,0.0
2,frbi2,187450,187450,100.0,0,0.0
3,soab2,187450,187450,100.0,0,0.0
4,sobi1,187450,187450,100.0,0,0.0
5,soab1,187450,187450,100.0,0,0.0
6,sabi2,187450,187450,100.0,0,0.0
7,saab2,187450,187450,100.0,0,0.0
8,sabi1,187450,187450,100.0,0,0.0
9,saab1,187450,187450,100.0,0,0.0
10,frab2,187450,187450,100.0,0,0.0
11,mibi1,187450,187450,100.0,0,0.0
12,frbi1,187450,187450,100.0,0,0.0
13,frab1,187450,187450,100.0,0,0.0
14,dobi2,187450,187450,100.0,0,0.0
15,doab2,187450,187450,100.0,0,0.0
16,dobi1,187450,187450,100.0,0,0.0
17,doab1,187450,187450,100.0,0,0.0
18,mibi2,187450,187450,100.0,0,0.0
19,sobi2,187450,187450,100.0,0,0.0
20,pakn1,187450,187450,100.0,0,0.0
21,pakn2,187450,187450,100.0,0,0.0
22,pakn3,187450,187450,100.0,0,0.0
23,cvp_xblck_k,187450,187450,100.0,0,0.0
24,prsnr,187450,187450,100.0,0,0.0
25,adrnp_2,187450,187450,100.0,0,0.0
26,kzherk,187450,187450,100.0,0,0.0
27,loevm,187450,187450,100.0,0,0.0
28,lifnr,187450,187450,100.0,0,0.0
29,duefl,187450,187450,100.0,0,0.0
30,ernam,187450,187450,100.0,0,0.0
31,erdat,187450,187450,100.0,0,0.0
32,titel_ap,187450,187450,100.0,0,0.0
33,spnam,187450,187450,100.0,0,0.0
34,famst,187450,187450,100.0,0,0.0
35,sortl,187450,187450,100.0,0,0.0
36,pakn5,187450,187450,100.0,0,0.0
37,pakn4,187450,187450,100.0,0,0.0
38,miab2,187450,187450,100.0,0,0.0
39,miab1,187450,187450,100.0,0,0.0
40,mandt,187450,187450,100.0,0,0.0
41,abtnr,187450,187450,100.0,0,0.0
42,parge,187450,187450,100.0,0,0.0
43,pavip,187450,187450,100.0,0,0.0
44,parvo,187450,187450,100.0,0,0.0
45,pafkt,187450,187450,100.0,0,0.0
46,anred,187450,187450,100.0,0,0.0
47,telf1,187450,187450,100.0,0,0.0
48,uepar,187450,187450,100.0,0,0.0
49,abtpa,187450,187450,100.0,0,0.0
50,dibi2,187450,187450,100.0,0,0.0
51,adrnp,187450,187450,100.0,0,0.0
52,adrnd,187450,187450,100.0,0,0.0
53,ort01,187450,187450,100.0,0,0.0
54,name1,187450,187450,100.0,0,0.0
55,namev,187450,187450,100.0,0,0.0
56,kunnr,187450,187450,100.0,0,0.0
57,parnr,187450,187450,100.0,0,0.0
58,parla,187450,187450,100.0,0,0.0
59,gbdat,187450,187450,100.0,0,0.0
60,vrtnr,187450,187450,100.0,0,0.0
61,bryth,187450,187450,100.0,0,0.0
62,diab2,187450,187450,100.0,0,0.0
63,dibi1,187450,187450,100.0,0,0.0
64,diab1,187450,187450,100.0,0,0.0
65,mobi2,187450,187450,100.0,0,0.0
66,moab2,187450,187450,100.0,0,0.0
67,mobi1,187450,187450,100.0,0,0.0
68,moab1,187450,187450,100.0,0,0.0
69,parh5,187450,187450,100.0,0,0.0
70,parh4,187450,187450,100.0,0,0.0
71,parh3,187450,187450,100.0,0,0.0
72,parh2,187450,187450,100.0,0,0.0
73,parh1,187450,187450,100.0,0,0.0
74,parau,187450,187450,100.0,0,0.0
75,nmail,187450,187450,100.0,0,0.0
76,akver,187450,187450,100.0,0,0.0
77,src_commit_time,187450,187450,100.0,0,0.0
