Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,166112,166112,100.0,0,0.0
2,anbednfe,166112,166112,100.0,0,0.0
3,umnam,166112,166112,100.0,0,0.0
4,umsda,166112,166112,100.0,0,0.0
5,umsae,166112,166112,100.0,0,0.0
6,ekgrp,166112,166112,100.0,0,0.0
7,aktnr,166112,166112,100.0,0,0.0
8,abein,166112,166112,100.0,0,0.0
9,bukrs,166112,166112,100.0,0,0.0
10,vknuma,166112,166112,100.0,0,0.0
11,forzp,166112,166112,100.0,0,0.0
12,foart,166112,166112,100.0,0,0.0
13,ident3,166112,166112,100.0,0,0.0
14,abpar,166112,166112,100.0,0,0.0
15,kfrst,166112,166112,100.0,0,0.0
16,angrp,166112,166112,100.0,0,0.0
17,naumf_enaw,166112,166112,100.0,0,0.0
18,ident1,166112,166112,100.0,0,0.0
19,naumf_snaw,166112,166112,100.0,0,0.0
20,naumf_anaw,166112,166112,100.0,0,0.0
21,umsaep,166112,166112,100.0,0,0.0
22,umnamp,166112,166112,100.0,0,0.0
23,umsdap,166112,166112,100.0,0,0.0
24,/bev1/rbrtt,166112,166112,100.0,0,0.0
25,/bev1/rbrtn,166112,166112,100.0,0,0.0
26,/bev1/rbewa,166112,166112,100.0,0,0.0
27,bon_enh_vakey,166112,166112,100.0,0,0.0
28,bon_enh_indirect,166112,166112,100.0,0,0.0
29,bon_enh_period_s,166112,166112,100.0,0,0.0
30,bon_enh_ctyp,166112,166112,100.0,0,0.0
31,bon_enh_cno,166112,166112,100.0,0,0.0
32,bon_enh_ttyp,166112,166112,100.0,0,0.0
33,ident2,166112,166112,100.0,0,0.0
34,uknuma,166112,166112,100.0,0,0.0
35,mandt,166112,166112,100.0,0,0.0
36,aezet,166112,166112,100.0,0,0.0
37,knuma,166112,166112,100.0,0,0.0
38,vkorg,166112,166112,100.0,0,0.0
39,vtweg,166112,166112,100.0,0,0.0
40,spart,166112,166112,100.0,0,0.0
41,vkbur,166112,166112,100.0,0,0.0
42,vkgrp,166112,166112,100.0,0,0.0
43,boart,166112,166112,100.0,0,0.0
44,abtyp,166112,166112,100.0,0,0.0
45,kappl,166112,166112,100.0,0,0.0
46,ernam,166112,166112,100.0,0,0.0
47,erdat,166112,166112,100.0,0,0.0
48,erzet,166112,166112,100.0,0,0.0
49,aenam,166112,166112,100.0,0,0.0
50,aedat,166112,166112,100.0,0,0.0
51,bonem,166112,166112,100.0,0,0.0
52,zterm,166112,166112,100.0,0,0.0
53,waers,166112,166112,100.0,0,0.0
54,maxbo,166112,166112,100.0,0,0.0
55,abrex,166112,166112,100.0,0,0.0
56,ekorg,166112,166112,100.0,0,0.0
57,bolif,166112,166112,100.0,0,0.0
58,abspz,166112,166112,100.0,0,0.0
59,bosta,166112,166112,100.0,0,0.0
60,datab,166112,166112,100.0,0,0.0
61,datbi,166112,166112,100.0,0,0.0
62,kobog,166112,166112,100.0,0,0.0
63,botext,166112,166112,100.0,0,0.0
64,zlsch,166112,166112,100.0,0,0.0
65,valtg,166112,166112,100.0,0,0.0
66,valdt,166112,166112,100.0,0,0.0
67,src_commit_time,166112,166112,100.0,0,0.0
