Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,9996825,143474095,100.0,0,0.0
2,loevm_ko,9996825,143474095,100.0,0,0.0
3,bomat,9996825,143474095,100.0,0,0.0
4,kbrue,9996825,143474095,100.0,0,0.0
5,kspae,9996825,143474095,100.0,0,0.0
6,bosta,9996825,143474095,100.0,0,0.0
7,knuma_pi,9996825,143474095,100.0,0,0.0
8,knuma_ag,9996825,143474095,100.0,0,0.0
9,knuma_sq,9996825,143474095,100.0,0,0.0
10,valtg,9996825,143474095,100.0,0,0.0
11,valdt,9996825,143474095,100.0,0,0.0
12,zterm,9996825,143474095,100.0,0,0.0
13,anzauf,9996825,143474095,100.0,0,0.0
14,mikbas,9996825,143474095,100.0,0,0.0
15,mxkbas,9996825,143474095,100.0,0,0.0
16,komxwrt,9996825,143474095,100.0,0,0.0
17,klf_stg,9996825,143474095,100.0,0,0.0
18,klf_kal,9996825,143474095,100.0,0,0.0
19,vkkal,9996825,143474095,100.0,0,0.0
20,aktnr,9996825,143474095,100.0,0,0.0
21,knuma_bo,9996825,143474095,100.0,0,0.0
22,mwsk2,9996825,143474095,100.0,0,0.0
23,vertt,9996825,143474095,100.0,0,0.0
24,vertn,9996825,143474095,100.0,0,0.0
25,vbewa,9996825,143474095,100.0,0,0.0
26,mdflg,9996825,143474095,100.0,0,0.0
27,kfrst,9996825,143474095,100.0,0,0.0
28,uasta,9996825,143474095,100.0,0,0.0
29,/bev1/ecrtt,9996825,143474095,100.0,0,0.0
30,/bev1/ecrtn,9996825,143474095,100.0,0,0.0
31,/bev1/ecewa,9996825,143474095,100.0,0,0.0
32,zaehk_ind,9996825,143474095,100.0,0,0.0
33,mwsk1,9996825,143474095,100.0,0,0.0
34,mandt,9996825,143474095,100.0,0,0.0
35,lifnr,9996825,143474095,100.0,0,0.0
36,knumh,9996825,143474095,100.0,0,0.0
37,kopos,9996825,143474095,100.0,0,0.0
38,kappl,9996825,143474095,100.0,0,0.0
39,kschl,9996825,143474095,100.0,0,0.0
40,knumt,9996825,143474095,100.0,0,0.0
41,stfkz,9996825,143474095,100.0,0,0.0
42,kzbzg,9996825,143474095,100.0,0,0.0
43,kstbm,9996825,143474095,100.0,0,0.0
44,konms,9996825,143474095,100.0,0,0.0
45,kstbw,9996825,143474095,100.0,0,0.0
46,konws,9996825,143474095,100.0,0,0.0
47,krech,9996825,143474095,100.0,0,0.0
48,kbetr,9996825,143474095,100.0,0,0.0
49,konwa,9996825,143474095,100.0,0,0.0
50,kpein,9996825,143474095,100.0,0,0.0
51,kmein,9996825,143474095,100.0,0,0.0
52,prsch,9996825,143474095,100.0,0,0.0
53,kumza,9996825,143474095,100.0,0,0.0
54,kumne,9996825,143474095,100.0,0,0.0
55,meins,9996825,143474095,100.0,0,0.0
56,mxwrt,9996825,143474095,100.0,0,0.0
57,gkwrt,9996825,143474095,100.0,0,0.0
58,pkwrt,9996825,143474095,100.0,0,0.0
59,fkwrt,9996825,143474095,100.0,0,0.0
60,rswrt,9996825,143474095,100.0,0,0.0
61,kwaeh,9996825,143474095,100.0,0,0.0
62,ukbas,9996825,143474095,100.0,0,0.0
63,kznep,9996825,143474095,100.0,0,0.0
64,kunnr,9996825,143474095,100.0,0,0.0
65,src_commit_time,9996825,143474095,100.0,0,0.0
