Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,47415,47415,100.0,0,0.0
2,nplei,47415,47415,100.0,0,0.0
3,aofta,47415,47415,100.0,0,0.0
4,refnr,47415,47415,100.0,0,0.0
5,uvtyp,47415,47415,100.0,0,0.0
6,uvpla,47415,47415,100.0,0,0.0
7,kkapv,47415,47415,100.0,0,0.0
8,okapv,47415,47415,100.0,0,0.0
9,uvpos,47415,47415,100.0,0,0.0
10,mandt,47415,47415,100.0,0,0.0
11,uvqnr,47415,47415,100.0,0,0.0
12,wetyp,47415,47415,100.0,0,0.0
13,wepla,47415,47415,100.0,0,0.0
14,westa,47415,47415,100.0,0,0.0
15,weaqu,47415,47415,100.0,0,0.0
16,vbeln,47415,47415,100.0,0,0.0
17,plpos,47415,47415,100.0,0,0.0
18,gewei,47415,47415,100.0,0,0.0
19,mgewi,47415,47415,100.0,0,0.0
20,btaps,47415,47415,100.0,0,0.0
21,btanr,47415,47415,100.0,0,0.0
22,bzeit,47415,47415,100.0,0,0.0
23,bdatu,47415,47415,100.0,0,0.0
24,anzqu,47415,47415,100.0,0,0.0
25,statu,47415,47415,100.0,0,0.0
26,spgru,47415,47415,100.0,0,0.0
27,skzue,47415,47415,100.0,0,0.0
28,skzua,47415,47415,100.0,0,0.0
29,lgpla,47415,47415,100.0,0,0.0
30,lgtyp,47415,47415,100.0,0,0.0
31,letyp,47415,47415,100.0,0,0.0
32,lgnum,47415,47415,100.0,0,0.0
33,lenum,47415,47415,100.0,0,0.0
34,src_commit_time,47415,47415,100.0,0,0.0
