Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,55552,55552,100.0,0,0.0
2,mandt,55552,55552,100.0,0,0.0
3,j_1kftbus,55552,55552,100.0,0,0.0
4,j_1kftind,55552,55552,100.0,0,0.0
5,confs,55552,55552,100.0,0,0.0
6,updat,55552,55552,100.0,0,0.0
7,uptim,55552,55552,100.0,0,0.0
8,nodel,55552,55552,100.0,0,0.0
9,qssysdat,55552,55552,100.0,0,0.0
10,podkzb,55552,55552,100.0,0,0.0
11,fisku,55552,55552,100.0,0,0.0
12,stenr,55552,55552,100.0,0,0.0
13,carrier_conf,55552,55552,100.0,0,0.0
14,min_comp,55552,55552,100.0,0,0.0
15,term_li,55552,55552,100.0,0,0.0
16,crc_num,55552,55552,100.0,0,0.0
17,j_sc_capital,55552,55552,100.0,0,0.0
18,j_1kfrepre,55552,55552,100.0,0,0.0
19,lfurl,55552,55552,100.0,0,0.0
20,emnfr,55552,55552,100.0,0,0.0
21,regss,55552,55552,100.0,0,0.0
22,sfrgr,55552,55552,100.0,0,0.0
23,lzone,55552,55552,100.0,0,0.0
24,xlfza,55552,55552,100.0,0,0.0
25,dlgrp,55552,55552,100.0,0,0.0
26,fityp,55552,55552,100.0,0,0.0
27,stcdt,55552,55552,100.0,0,0.0
28,actss,55552,55552,100.0,0,0.0
29,stgdl,55552,55552,100.0,0,0.0
30,stcd3,55552,55552,100.0,0,0.0
31,stcd4,55552,55552,100.0,0,0.0
32,stcd5,55552,55552,100.0,0,0.0
33,ipisp,55552,55552,100.0,0,0.0
34,taxbs,55552,55552,100.0,0,0.0
35,profs,55552,55552,100.0,0,0.0
36,j_sc_currency,55552,55552,100.0,0,0.0
37,alc,55552,55552,100.0,0,0.0
38,pmt_office,55552,55552,100.0,0,0.0
39,icmstaxpay,55552,55552,100.0,0,0.0
40,ric,55552,55552,100.0,0,0.0
41,rne,55552,55552,100.0,0,0.0
42,rnedate,55552,55552,100.0,0,0.0
43,cnae,55552,55552,100.0,0,0.0
44,legalnat,55552,55552,100.0,0,0.0
45,crtn,55552,55552,100.0,0,0.0
46,indtyp,55552,55552,100.0,0,0.0
47,uf,55552,55552,100.0,0,0.0
48,tdt,55552,55552,100.0,0,0.0
49,comsize,55552,55552,100.0,0,0.0
50,decregpc,55552,55552,100.0,0,0.0
51,stcd6,55552,55552,100.0,0,0.0
52,sam_ue_id,55552,55552,100.0,0,0.0
53,sam_eft_ind,55552,55552,100.0,0,0.0
54,rgdate,55552,55552,100.0,0,0.0
55,exp,55552,55552,100.0,0,0.0
56,ppa_relevant,55552,55552,100.0,0,0.0
57,psotl,55552,55552,100.0,0,0.0
58,psofg,55552,55552,100.0,0,0.0
59,psois,55552,55552,100.0,0,0.0
60,pson1,55552,55552,100.0,0,0.0
61,pson2,55552,55552,100.0,0,0.0
