Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,9918862,9918862,100.0,0,0.0
2,mandt,9918862,9918862,100.0,0,0.0
3,pzeit,9918862,9918862,100.0,0,0.0
4,mblnr,9918862,9918862,100.0,0,0.0
5,mjahr,9918862,9918862,100.0,0,0.0
6,anzps,9918862,9918862,100.0,0,0.0
7,brgew,9918862,9918862,100.0,0,0.0
8,gewei,9918862,9918862,100.0,0,0.0
9,klfr2,9918862,9918862,100.0,0,0.0
10,kfar2,9918862,9918862,100.0,0,0.0
11,tbrue,9918862,9918862,100.0,0,0.0
12,rsnum,9918862,9918862,100.0,0,0.0
13,lznum,9918862,9918862,100.0,0,0.0
14,autta,9918862,9918862,100.0,0,0.0
15,bdart,9918862,9918862,100.0,0,0.0
16,pknum,9918862,9918862,100.0,0,0.0
17,pkpos,9918862,9918862,100.0,0,0.0
18,dirta,9918862,9918862,100.0,0,0.0
19,kbnkz,9918862,9918862,100.0,0,0.0
20,pdatu,9918862,9918862,100.0,0,0.0
21,nkdyn,9918862,9918862,100.0,0,0.0
22,nlpla,9918862,9918862,100.0,0,0.0
23,bzeit,9918862,9918862,100.0,0,0.0
24,lgnum,9918862,9918862,100.0,0,0.0
25,tbnum,9918862,9918862,100.0,0,0.0
26,statu,9918862,9918862,100.0,0,0.0
27,trart,9918862,9918862,100.0,0,0.0
28,tbpri,9918862,9918862,100.0,0,0.0
29,bname,9918862,9918862,100.0,0,0.0
30,bdatu,9918862,9918862,100.0,0,0.0
31,tbktx,9918862,9918862,100.0,0,0.0
32,nltyp,9918862,9918862,100.0,0,0.0
33,betyp,9918862,9918862,100.0,0,0.0
34,benum,9918862,9918862,100.0,0,0.0
35,bwart,9918862,9918862,100.0,0,0.0
36,bwlvs,9918862,9918862,100.0,0,0.0
37,vltyp,9918862,9918862,100.0,0,0.0
38,vlpla,9918862,9918862,100.0,0,0.0
39,vkdyn,9918862,9918862,100.0,0,0.0
40,src_commit_time,9918862,9918862,100.0,0,0.0
