Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,437647,437647,100.0,0,0.0
2,maxl,437647,437647,100.0,0,0.0
3,maxh,437647,437647,100.0,0,0.0
4,maxdim_uom,437647,437647,100.0,0,0.0
5,herkl,437647,437647,100.0,0,0.0
6,mfrgr,437647,437647,100.0,0,0.0
7,qqtime,437647,437647,100.0,0,0.0
8,qqtimeuom,437647,437647,100.0,0,0.0
9,qgrp,437647,437647,100.0,0,0.0
10,serial,437647,437647,100.0,0,0.0
11,ps_smartform,437647,437647,100.0,0,0.0
12,logunit,437647,437647,100.0,0,0.0
13,cwqrel,437647,437647,100.0,0,0.0
14,cwqproc,437647,437647,100.0,0,0.0
15,cwqtolgr,437647,437647,100.0,0,0.0
16,adprof,437647,437647,100.0,0,0.0
17,ipmipproduct,437647,437647,100.0,0,0.0
18,allow_pmat_igno,437647,437647,100.0,0,0.0
19,medium,437647,437647,100.0,0,0.0
20,commodity,437647,437647,100.0,0,0.0
21,animal_origin,437647,437647,100.0,0,0.0
22,textile_comp_ind,437647,437647,100.0,0,0.0
23,/bev1/luleinh,437647,437647,100.0,0,0.0
24,/bev1/luldegrp,437647,437647,100.0,0,0.0
25,/bev1/nestruccat,437647,437647,100.0,0,0.0
26,/dsd/sl_toltyp,437647,437647,100.0,0,0.0
27,/dsd/sv_cnt_grp,437647,437647,100.0,0,0.0
28,maxb,437647,437647,100.0,0,0.0
29,maxc_tol,437647,437647,100.0,0,0.0
30,/vso/r_tilt_ind,437647,437647,100.0,0,0.0
31,maxc,437647,437647,100.0,0,0.0
32,xgchp,437647,437647,100.0,0,0.0
33,kzeff,437647,437647,100.0,0,0.0
34,compl,437647,437647,100.0,0,0.0
35,iprkz,437647,437647,100.0,0,0.0
36,rdmhd,437647,437647,100.0,0,0.0
37,przus,437647,437647,100.0,0,0.0
38,mtpos_mara,437647,437647,100.0,0,0.0
39,bflme,437647,437647,100.0,0,0.0
40,matfi,437647,437647,100.0,0,0.0
41,cmrel,437647,437647,100.0,0,0.0
42,bbtyp,437647,437647,100.0,0,0.0
43,sled_bbd,437647,437647,100.0,0,0.0
44,gtin_variant,437647,437647,100.0,0,0.0
45,gennr,437647,437647,100.0,0,0.0
46,rmatp,437647,437647,100.0,0,0.0
47,gds_relevant,437647,437647,100.0,0,0.0
48,weora,437647,437647,100.0,0,0.0
49,hutyp_dflt,437647,437647,100.0,0,0.0
50,pilferable,437647,437647,100.0,0,0.0
51,whstc,437647,437647,100.0,0,0.0
52,whmatgr,437647,437647,100.0,0,0.0
53,hndlcode,437647,437647,100.0,0,0.0
54,hazmat,437647,437647,100.0,0,0.0
55,hutyp,437647,437647,100.0,0,0.0
56,tare_var,437647,437647,100.0,0,0.0
57,/dsd/vc_group,437647,437647,100.0,0,0.0
58,/vso/r_stack_ind,437647,437647,100.0,0,0.0
59,serlv,437647,437647,100.0,0,0.0
60,free_char,437647,437647,100.0,0,0.0
61,brand_id,437647,437647,100.0,0,0.0
62,fiber_code1,437647,437647,100.0,0,0.0
63,fiber_part1,437647,437647,100.0,0,0.0
64,fiber_code2,437647,437647,100.0,0,0.0
65,fiber_part2,437647,437647,100.0,0,0.0
66,fiber_code3,437647,437647,100.0,0,0.0
67,fiber_part3,437647,437647,100.0,0,0.0
68,fiber_code4,437647,437647,100.0,0,0.0
69,fiber_part4,437647,437647,100.0,0,0.0
70,fiber_code5,437647,437647,100.0,0,0.0
71,fiber_part5,437647,437647,100.0,0,0.0
72,fashgrd,437647,437647,100.0,0,0.0
73,sgt_csgr,437647,437647,100.0,0,0.0
74,sgt_covsa,437647,437647,100.0,0,0.0
75,sgt_stat,437647,437647,100.0,0,0.0
76,sgt_scope,437647,437647,100.0,0,0.0
77,sgt_rel,437647,437647,100.0,0,0.0
78,anp,437647,437647,100.0,0,0.0
79,fsh_mg_at1,437647,437647,100.0,0,0.0
80,fsh_mg_at2,437647,437647,100.0,0,0.0
81,fsh_mg_at3,437647,437647,100.0,0,0.0
82,fsh_sealv,437647,437647,100.0,0,0.0
83,fsh_seaim,437647,437647,100.0,0,0.0
84,fsh_sc_mid,437647,437647,100.0,0,0.0
85,psm_code,437647,437647,100.0,0,0.0
86,care_code,437647,437647,100.0,0,0.0
87,size2,437647,437647,100.0,0,0.0
88,/vso/r_bot_ind,437647,437647,100.0,0,0.0
89,size1,437647,437647,100.0,0,0.0
90,/vso/r_top_ind,437647,437647,100.0,0,0.0
91,/vso/r_stack_no,437647,437647,100.0,0,0.0
92,/vso/r_pal_ind,437647,437647,100.0,0,0.0
93,/vso/r_pal_ovr_d,437647,437647,100.0,0,0.0
94,/vso/r_pal_ovr_w,437647,437647,100.0,0,0.0
95,/vso/r_pal_b_ht,437647,437647,100.0,0,0.0
96,/vso/r_pal_min_h,437647,437647,100.0,0,0.0
97,/vso/r_tol_b_ht,437647,437647,100.0,0,0.0
98,/vso/r_no_p_gvh,437647,437647,100.0,0,0.0
99,/vso/r_quan_unit,437647,437647,100.0,0,0.0
100,/vso/r_kzgvh_ind,437647,437647,100.0,0,0.0
101,packcode,437647,437647,100.0,0,0.0
102,dg_pack_status,437647,437647,100.0,0,0.0
103,mcond,437647,437647,100.0,0,0.0
104,retdelc,437647,437647,100.0,0,0.0
105,loglev_reto,437647,437647,100.0,0,0.0
106,nsnid,437647,437647,100.0,0,0.0
107,adspc_spc,437647,437647,100.0,0,0.0
