Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,446570,446570,100.0,0,0.0
2,deact_bm,446570,446570,100.0,0,0.0
3,fvdt4,446570,446570,100.0,0,0.0
4,fvdt5,446570,446570,100.0,0,0.0
5,fvdt6,446570,446570,100.0,0,0.0
6,herkl,446570,446570,100.0,0,0.0
7,herkr,446570,446570,100.0,0,0.0
8,mtver,446570,446570,100.0,0,0.0
9,qndat,446570,446570,100.0,0,0.0
10,hsdat,446570,446570,100.0,0,0.0
11,cuobj_bm,446570,446570,100.0,0,0.0
12,batch_type,446570,446570,100.0,0,0.0
13,fvdt2,446570,446570,100.0,0,0.0
14,sgt_scat,446570,446570,100.0,0,0.0
15,ersda_tmstp,446570,446570,100.0,0,0.0
16,ersda_tz_sys,446570,446570,100.0,0,0.0
17,ersda_tz_usr,446570,446570,100.0,0,0.0
18,fsh_season_year,446570,446570,100.0,0,0.0
19,fsh_season,446570,446570,100.0,0,0.0
20,fsh_collection,446570,446570,100.0,0,0.0
21,fsh_theme,446570,446570,100.0,0,0.0
22,zfdat,446570,446570,100.0,0,0.0
23,fvdt3,446570,446570,100.0,0,0.0
24,fvdt1,446570,446570,100.0,0,0.0
25,mandt,446570,446570,100.0,0,0.0
26,vfdat,446570,446570,100.0,0,0.0
27,matnr,446570,446570,100.0,0,0.0
28,werks,446570,446570,100.0,0,0.0
29,charg,446570,446570,100.0,0,0.0
30,lvorm,446570,446570,100.0,0,0.0
31,ersda,446570,446570,100.0,0,0.0
32,ernam,446570,446570,100.0,0,0.0
33,aenam,446570,446570,100.0,0,0.0
34,laeda,446570,446570,100.0,0,0.0
35,verab,446570,446570,100.0,0,0.0
36,zusch,446570,446570,100.0,0,0.0
37,lwedt,446570,446570,100.0,0,0.0
38,zustd,446570,446570,100.0,0,0.0
39,zaedt,446570,446570,100.0,0,0.0
40,lifnr,446570,446570,100.0,0,0.0
41,licha,446570,446570,100.0,0,0.0
42,vlcha,446570,446570,100.0,0,0.0
43,vlwrk,446570,446570,100.0,0,0.0
44,vlmat,446570,446570,100.0,0,0.0
45,bwtar,446570,446570,100.0,0,0.0
46,chame,446570,446570,100.0,0,0.0
47,src_commit_time,446570,446570,100.0,0,0.0
