Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,132827,132827,100.0,0,0.0
2,adtgoon,132827,132827,100.0,0,0.0
3,zykzt,132827,132827,100.0,0,0.0
4,zykls,132827,132827,100.0,0,0.0
5,puffp,132827,132827,100.0,0,0.0
6,puffn,132827,132827,100.0,0,0.0
7,szaeh,132827,132827,100.0,0,0.0
8,rzaeh,132827,132827,100.0,0,0.0
9,nzaeh,132827,132827,100.0,0,0.0
10,usermod,132827,132827,100.0,0,0.0
11,demand_id,132827,132827,100.0,0,0.0
12,demand_no,132827,132827,100.0,0,0.0
13,revision_no,132827,132827,100.0,0,0.0
14,rev_plant,132827,132827,100.0,0,0.0
15,adpoint,132827,132827,100.0,0,0.0
16,adandor,132827,132827,100.0,0,0.0
17,adcycle,132827,132827,100.0,0,0.0
18,mandt,132827,132827,100.0,0,0.0
19,adunit,132827,132827,100.0,0,0.0
20,adoffset,132827,132827,100.0,0,0.0
21,adnzaeh,132827,132827,100.0,0,0.0
22,adsttime,132827,132827,100.0,0,0.0
23,adconftime,132827,132827,100.0,0,0.0
24,cycleseqind,132827,132827,100.0,0,0.0
25,adextstartdate,132827,132827,100.0,0,0.0
26,adextstarttime,132827,132827,100.0,0,0.0
27,adsystartdate,132827,132827,100.0,0,0.0
28,adsystarttime,132827,132827,100.0,0,0.0
29,adobject,132827,132827,100.0,0,0.0
30,setrepeatind,132827,132827,100.0,0,0.0
31,ind_mpla_api,132827,132827,100.0,0,0.0
32,due_date_time,132827,132827,100.0,0,0.0
33,vgnum,132827,132827,100.0,0,0.0
34,fixda,132827,132827,100.0,0,0.0
35,fixdu,132827,132827,100.0,0,0.0
36,tstat,132827,132827,100.0,0,0.0
37,warpl,132827,132827,100.0,0,0.0
38,abnum,132827,132827,100.0,0,0.0
39,zaehl,132827,132827,100.0,0,0.0
40,nplda,132827,132827,100.0,0,0.0
41,terma,132827,132827,100.0,0,0.0
42,stadt,132827,132827,100.0,0,0.0
43,lrmdt,132827,132827,100.0,0,0.0
44,offze,132827,132827,100.0,0,0.0
45,offzo,132827,132827,100.0,0,0.0
46,abrud,132827,132827,100.0,0,0.0
47,abrna,132827,132827,100.0,0,0.0
48,sfakt,132827,132827,100.0,0,0.0
49,termk,132827,132827,100.0,0,0.0
50,versch,132827,132827,100.0,0,0.0
51,toler,132827,132827,100.0,0,0.0
52,knnrm,132827,132827,100.0,0,0.0
53,knprm,132827,132827,100.0,0,0.0
54,npldo,132827,132827,100.0,0,0.0
55,npldz,132827,132827,100.0,0,0.0
56,manda,132827,132827,100.0,0,0.0
57,offle,132827,132827,100.0,0,0.0
58,offlo,132827,132827,100.0,0,0.0
59,knaut,132827,132827,100.0,0,0.0
60,knasr,132827,132827,100.0,0,0.0
61,tsabr,132827,132827,100.0,0,0.0
62,tsvbt,132827,132827,100.0,0,0.0
63,tsenq,132827,132827,100.0,0,0.0
64,tsenm,132827,132827,100.0,0,0.0
65,horda,132827,132827,100.0,0,0.0
66,src_commit_time,132827,132827,100.0,0,0.0
