Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,211,211,100.0,0,0.0
2,mandt,211,211,100.0,0,0.0
3,kzisl,211,211,100.0,0,0.0
4,kzisq,211,211,100.0,0,0.0
5,kzise,211,211,100.0,0,0.0
6,kziss,211,211,100.0,0,0.0
7,kzvsl,211,211,100.0,0,0.0
8,kzvsq,211,211,100.0,0,0.0
9,kzvse,211,211,100.0,0,0.0
10,kzvss,211,211,100.0,0,0.0
11,mmeng,211,211,100.0,0,0.0
12,ameng,211,211,100.0,0,0.0
13,kodll,211,211,100.0,0,0.0
14,kojin,211,211,100.0,0,0.0
15,korue,211,211,100.0,0,0.0
16,sgt_scat,211,211,100.0,0,0.0
17,fsh_season_year,211,211,100.0,0,0.0
18,fsh_season,211,211,100.0,0,0.0
19,fsh_collection,211,211,100.0,0,0.0
20,fsh_theme,211,211,100.0,0,0.0
21,fsh_salloc_qty,211,211,100.0,0,0.0
22,svmsp,211,211,100.0,0,0.0
23,svmei,211,211,100.0,0,0.0
24,svmin,211,211,100.0,0,0.0
25,ernam,211,211,100.0,0,0.0
26,matnr,211,211,100.0,0,0.0
27,werks,211,211,100.0,0,0.0
28,lgort,211,211,100.0,0,0.0
29,charg,211,211,100.0,0,0.0
30,sobkz,211,211,100.0,0,0.0
31,lifnr,211,211,100.0,0,0.0
32,lvorm,211,211,100.0,0,0.0
33,ersda,211,211,100.0,0,0.0
34,aenam,211,211,100.0,0,0.0
35,svmla,211,211,100.0,0,0.0
36,laeda,211,211,100.0,0,0.0
37,lfgja,211,211,100.0,0,0.0
38,lfmon,211,211,100.0,0,0.0
39,spers,211,211,100.0,0,0.0
40,slabs,211,211,100.0,0,0.0
41,sinsm,211,211,100.0,0,0.0
42,seinm,211,211,100.0,0,0.0
43,sspem,211,211,100.0,0,0.0
44,src_commit_time,211,211,100.0,0,0.0
