Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,28695508,28695508,100.0,0,0.0
2,spe_budat_zone,28695508,28695508,100.0,0,0.0
3,awsys,28695508,28695508,100.0,0,0.0
4,bla2d,28695508,28695508,100.0,0,0.0
5,tcode2,28695508,28695508,100.0,0,0.0
6,bfwms,28695508,28695508,100.0,0,0.0
7,exnum,28695508,28695508,100.0,0,0.0
8,spe_budat_uhr,28695508,28695508,100.0,0,0.0
9,le_vbeln,28695508,28695508,100.0,0,0.0
10,wever,28695508,28695508,100.0,0,0.0
11,spe_logsys,28695508,28695508,100.0,0,0.0
12,spe_mdnum_ewm,28695508,28695508,100.0,0,0.0
13,gts_cusref_no,28695508,28695508,100.0,0,0.0
14,fls_rsto,28695508,28695508,100.0,0,0.0
15,msr_active,28695508,28695508,100.0,0,0.0
16,knumv,28695508,28695508,100.0,0,0.0
17,xabln,28695508,28695508,100.0,0,0.0
18,frbnr,28695508,28695508,100.0,0,0.0
19,mandt,28695508,28695508,100.0,0,0.0
20,budat,28695508,28695508,100.0,0,0.0
21,mblnr,28695508,28695508,100.0,0,0.0
22,mjahr,28695508,28695508,100.0,0,0.0
23,vgart,28695508,28695508,100.0,0,0.0
24,blart,28695508,28695508,100.0,0,0.0
25,blaum,28695508,28695508,100.0,0,0.0
26,bldat,28695508,28695508,100.0,0,0.0
27,cpudt,28695508,28695508,100.0,0,0.0
28,frath,28695508,28695508,100.0,0,0.0
29,cputm,28695508,28695508,100.0,0,0.0
30,aedat,28695508,28695508,100.0,0,0.0
31,usnam,28695508,28695508,100.0,0,0.0
32,tcode,28695508,28695508,100.0,0,0.0
33,xblnr,28695508,28695508,100.0,0,0.0
34,bktxt,28695508,28695508,100.0,0,0.0
35,src_commit_time,28695508,28695508,100.0,0,0.0
