Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,217958,217958,100.0,0,0.0
2,mandt,217958,217958,100.0,0,0.0
3,l2skr,217958,217958,100.0,0,0.0
4,vomem,217958,217958,100.0,0,0.0
5,plkpt,217958,217958,100.0,0,0.0
6,bezme,217958,217958,100.0,0,0.0
7,mkapv,217958,217958,100.0,0,0.0
8,bsskz,217958,217958,100.0,0,0.0
9,kzmbf,217958,217958,100.0,0,0.0
10,block,217958,217958,100.0,0,0.0
11,kzzul,217958,217958,100.0,0,0.0
12,lvsme,217958,217958,100.0,0,0.0
13,lety3,217958,217958,100.0,0,0.0
14,lety2,217958,217958,100.0,0,0.0
15,lety1,217958,217958,100.0,0,0.0
16,lhme3,217958,217958,100.0,0,0.0
17,lhme2,217958,217958,100.0,0,0.0
18,lhme1,217958,217958,100.0,0,0.0
19,lhmg3,217958,217958,100.0,0,0.0
20,lhmg2,217958,217958,100.0,0,0.0
21,lhmg1,217958,217958,100.0,0,0.0
22,ltkza,217958,217958,100.0,0,0.0
23,ltkze,217958,217958,100.0,0,0.0
24,lgbkz,217958,217958,100.0,0,0.0
25,lvorm,217958,217958,100.0,0,0.0
26,lgnum,217958,217958,100.0,0,0.0
27,matnr,217958,217958,100.0,0,0.0
28,src_commit_time,217958,217958,100.0,0,0.0
