Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,84702,84702,100.0,0,0.0
2,kurue,84702,84702,100.0,0,0.0
3,kuflq,84702,84702,100.0,0,0.0
4,kudll,84702,84702,100.0,0,0.0
5,kuein,84702,84702,100.0,0,0.0
6,kuvei,84702,84702,100.0,0,0.0
7,ersda,84702,84702,100.0,0,0.0
8,kujin,84702,84702,100.0,0,0.0
9,kuuml,84702,84702,100.0,0,0.0
10,mandt,84702,84702,100.0,0,0.0
11,sgt_scat,84702,84702,100.0,0,0.0
12,fsh_season_year,84702,84702,100.0,0,0.0
13,fsh_season,84702,84702,100.0,0,0.0
14,fsh_collection,84702,84702,100.0,0,0.0
15,fsh_theme,84702,84702,100.0,0,0.0
16,fsh_salloc_qty,84702,84702,100.0,0,0.0
17,kufll,84702,84702,100.0,0,0.0
18,kuvlq,84702,84702,100.0,0,0.0
19,kuvll,84702,84702,100.0,0,0.0
20,kuilq,84702,84702,100.0,0,0.0
21,kuill,84702,84702,100.0,0,0.0
22,kuvin,84702,84702,100.0,0,0.0
23,kuvla,84702,84702,100.0,0,0.0
24,kuins,84702,84702,100.0,0,0.0
25,kulab,84702,84702,100.0,0,0.0
26,kuspr,84702,84702,100.0,0,0.0
27,lfmon,84702,84702,100.0,0,0.0
28,lfgja,84702,84702,100.0,0,0.0
29,kunnr,84702,84702,100.0,0,0.0
30,sobkz,84702,84702,100.0,0,0.0
31,charg,84702,84702,100.0,0,0.0
32,werks,84702,84702,100.0,0,0.0
33,matnr,84702,84702,100.0,0,0.0
34,src_commit_time,84702,84702,100.0,0,0.0
