Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2345,2345,100.0,0,0.0
2,prill,2345,2345,100.0,0,0.0
3,prrue,2345,2345,100.0,0,0.0
4,prjin,2345,2345,100.0,0,0.0
5,ersda,2345,2345,100.0,0,0.0
6,prvei,2345,2345,100.0,0,0.0
7,prein,2345,2345,100.0,0,0.0
8,prdll,2345,2345,100.0,0,0.0
9,prfls,2345,2345,100.0,0,0.0
10,prflq,2345,2345,100.0,0,0.0
11,prfll,2345,2345,100.0,0,0.0
12,prvls,2345,2345,100.0,0,0.0
13,prvlq,2345,2345,100.0,0,0.0
14,prvll,2345,2345,100.0,0,0.0
15,prils,2345,2345,100.0,0,0.0
16,prilq,2345,2345,100.0,0,0.0
17,prvsp,2345,2345,100.0,0,0.0
18,mandt,2345,2345,100.0,0,0.0
19,prvin,2345,2345,100.0,0,0.0
20,prvla,2345,2345,100.0,0,0.0
21,prspe,2345,2345,100.0,0,0.0
22,prins,2345,2345,100.0,0,0.0
23,prlab,2345,2345,100.0,0,0.0
24,prspr,2345,2345,100.0,0,0.0
25,lfmon,2345,2345,100.0,0,0.0
26,lfgja,2345,2345,100.0,0,0.0
27,pspnr,2345,2345,100.0,0,0.0
28,sobkz,2345,2345,100.0,0,0.0
29,charg,2345,2345,100.0,0,0.0
30,lgort,2345,2345,100.0,0,0.0
31,werks,2345,2345,100.0,0,0.0
32,matnr,2345,2345,100.0,0,0.0
33,src_commit_time,2345,2345,100.0,0,0.0
