Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,1778824,1778824,100.0,0,0.0
2,prat3,1778824,1778824,100.0,0,0.0
3,prat9,1778824,1778824,100.0,0,0.0
4,prat8,1778824,1778824,100.0,0,0.0
5,prat7,1778824,1778824,100.0,0,0.0
6,prat6,1778824,1778824,100.0,0,0.0
7,prat5,1778824,1778824,100.0,0,0.0
8,prat4,1778824,1778824,100.0,0,0.0
9,prat2,1778824,1778824,100.0,0,0.0
10,rdprf,1778824,1778824,100.0,0,0.0
11,prat1,1778824,1778824,100.0,0,0.0
12,vdbzl,1778824,1778824,100.0,0,0.0
13,vdvzl,1778824,1778824,100.0,0,0.0
14,vdbfl,1778824,1778824,100.0,0,0.0
15,vdvfl,1778824,1778824,100.0,0,0.0
16,ldbzl,1778824,1778824,100.0,0,0.0
17,prata,1778824,1778824,100.0,0,0.0
18,megru,1778824,1778824,100.0,0,0.0
19,mandt,1778824,1778824,100.0,0,0.0
20,/bev1/rpbezme,1778824,1778824,100.0,0,0.0
21,plgtp,1778824,1778824,100.0,0,0.0
22,/bev1/rpsso,1778824,1778824,100.0,0,0.0
23,/bev1/rpsco,1778824,1778824,100.0,0,0.0
24,/bev1/rpski,1778824,1778824,100.0,0,0.0
25,/bev1/rpsfa,1778824,1778824,100.0,0,0.0
26,/bev1/rpsns,1778824,1778824,100.0,0,0.0
27,/bev1/emdrckspl,1778824,1778824,100.0,0,0.0
28,lfmax,1778824,1778824,100.0,0,0.0
29,/bev1/emlgrp,1778824,1778824,100.0,0,0.0
30,pvmso,1778824,1778824,100.0,0,0.0
31,matkc,1778824,1778824,100.0,0,0.0
32,vavme,1778824,1778824,100.0,0,0.0
33,pbind,1778824,1778824,100.0,0,0.0
34,rjart,1778824,1778824,100.0,0,0.0
35,ldvzl,1778824,1778824,100.0,0,0.0
36,ldbfl,1778824,1778824,100.0,0,0.0
37,ldvfl,1778824,1778824,100.0,0,0.0
38,sktof,1778824,1778824,100.0,0,0.0
39,scmng,1778824,1778824,100.0,0,0.0
40,efmng,1778824,1778824,100.0,0,0.0
41,lfmng,1778824,1778824,100.0,0,0.0
42,aumng,1778824,1778824,100.0,0,0.0
43,vmstd,1778824,1778824,100.0,0,0.0
44,vmsta,1778824,1778824,100.0,0,0.0
45,provg,1778824,1778824,100.0,0,0.0
46,lstak,1778824,1778824,100.0,0,0.0
47,bonus,1778824,1778824,100.0,0,0.0
48,versg,1778824,1778824,100.0,0,0.0
49,lvorm,1778824,1778824,100.0,0,0.0
50,vtweg,1778824,1778824,100.0,0,0.0
51,vkorg,1778824,1778824,100.0,0,0.0
52,matnr,1778824,1778824,100.0,0,0.0
53,schme,1778824,1778824,100.0,0,0.0
54,vrkme,1778824,1778824,100.0,0,0.0
55,mtpos,1778824,1778824,100.0,0,0.0
56,dwerk,1778824,1778824,100.0,0,0.0
57,prodh,1778824,1778824,100.0,0,0.0
58,pmatn,1778824,1778824,100.0,0,0.0
59,kondm,1778824,1778824,100.0,0,0.0
60,ktgrm,1778824,1778824,100.0,0,0.0
61,mvgr1,1778824,1778824,100.0,0,0.0
62,mvgr2,1778824,1778824,100.0,0,0.0
63,mvgr3,1778824,1778824,100.0,0,0.0
64,mvgr4,1778824,1778824,100.0,0,0.0
65,mvgr5,1778824,1778824,100.0,0,0.0
66,sstuf,1778824,1778824,100.0,0,0.0
67,pflks,1778824,1778824,100.0,0,0.0
68,lstfl,1778824,1778824,100.0,0,0.0
69,lstvz,1778824,1778824,100.0,0,0.0
70,src_commit_time,1778824,1778824,100.0,0,0.0
