Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,7398,7398,100.0,0,0.0
2,abrdt,7398,7398,100.0,0,0.0
3,rrdaf,7398,7398,100.0,0,0.0
4,koabr,7398,7398,100.0,0,0.0
5,prdat,7398,7398,100.0,0,0.0
6,pkgab,7398,7398,100.0,0,0.0
7,abwd1,7398,7398,100.0,0,0.0
8,abwd2,7398,7398,100.0,0,0.0
9,bderr,7398,7398,100.0,0,0.0
10,bder1,7398,7398,100.0,0,0.0
11,kobde,7398,7398,100.0,0,0.0
12,timrc,7398,7398,100.0,0,0.0
13,dat00,7398,7398,100.0,0,0.0
14,uhr00,7398,7398,100.0,0,0.0
15,inumk,7398,7398,100.0,0,0.0
16,werks,7398,7398,100.0,0,0.0
17,sachz,7398,7398,100.0,0,0.0
18,sfeld,7398,7398,100.0,0,0.0
19,adrun,7398,7398,100.0,0,0.0
20,viekn,7398,7398,100.0,0,0.0
21,trvfl,7398,7398,100.0,0,0.0
22,rcbon,7398,7398,100.0,0,0.0
23,prtev,7398,7398,100.0,0,0.0
24,rrdat,7398,7398,100.0,0,0.0
25,abrsp,7398,7398,100.0,0,0.0
26,mandt,7398,7398,100.0,0,0.0
27,grpvl,7398,7398,100.0,0,0.0
28,pernr,7398,7398,100.0,0,0.0
29,subty,7398,7398,100.0,0,0.0
30,objps,7398,7398,100.0,0,0.0
31,sprps,7398,7398,100.0,0,0.0
32,endda,7398,7398,100.0,0,0.0
33,begda,7398,7398,100.0,0,0.0
34,seqnr,7398,7398,100.0,0,0.0
35,aedtm,7398,7398,100.0,0,0.0
36,uname,7398,7398,100.0,0,0.0
37,histo,7398,7398,100.0,0,0.0
38,itxex,7398,7398,100.0,0,0.0
39,refex,7398,7398,100.0,0,0.0
40,ordex,7398,7398,100.0,0,0.0
41,itbld,7398,7398,100.0,0,0.0
42,preas,7398,7398,100.0,0,0.0
43,flag1,7398,7398,100.0,0,0.0
44,flag2,7398,7398,100.0,0,0.0
45,flag3,7398,7398,100.0,0,0.0
46,flag4,7398,7398,100.0,0,0.0
47,rese1,7398,7398,100.0,0,0.0
48,rese2,7398,7398,100.0,0,0.0
49,src_commit_time,7398,7398,100.0,0,0.0
