Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,547,547,100.0,0,0.0
2,sobkz,547,547,100.0,0,0.0
3,vrsio,547,547,100.0,0,0.0
4,mcinf,547,547,100.0,0,0.0
5,stfna,547,547,100.0,0,0.0
6,oplkz,547,547,100.0,0,0.0
7,mcinc,547,547,100.0,0,0.0
8,vrsic,547,547,100.0,0,0.0
9,knttp,547,547,100.0,0,0.0
10,kzvbr,547,547,100.0,0,0.0
11,aggpb,547,547,100.0,0,0.0
12,pspel,547,547,100.0,0,0.0
13,kdpos,547,547,100.0,0,0.0
14,kdauf,547,547,100.0,0,0.0
15,profilid,547,547,100.0,0,0.0
16,kzbws,547,547,100.0,0,0.0
17,pbdnr_ext,547,547,100.0,0,0.0
18,sgt_rcat,547,547,100.0,0,0.0
19,plscn,547,547,100.0,0,0.0
20,uhrlp,547,547,100.0,0,0.0
21,mandt,547,547,100.0,0,0.0
22,bdzei,547,547,100.0,0,0.0
23,pbdid,547,547,100.0,0,0.0
24,pbdnr,547,547,100.0,0,0.0
25,matnr,547,547,100.0,0,0.0
26,berid,547,547,100.0,0,0.0
27,versb,547,547,100.0,0,0.0
28,werks,547,547,100.0,0,0.0
29,bedae,547,547,100.0,0,0.0
30,zuvkz,547,547,100.0,0,0.0
31,datlp,547,547,100.0,0,0.0
32,vervs,547,547,100.0,0,0.0
33,verkz,547,547,100.0,0,0.0
34,zuokr,547,547,100.0,0,0.0
35,plnkz,547,547,100.0,0,0.0
36,txtkz,547,547,100.0,0,0.0
37,loevr,547,547,100.0,0,0.0
38,uebkz,547,547,100.0,0,0.0
39,src_commit_time,547,547,100.0,0,0.0
