Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,6947,6947,100.0,0,0.0
2,tbnum,6947,6947,100.0,0,0.0
3,spkkz,6947,6947,100.0,0,0.0
4,mblnr,6947,6947,100.0,0,0.0
5,mblpo,6947,6947,100.0,0,0.0
6,pklkz,6947,6947,100.0,0,0.0
7,pkbmg,6947,6947,100.0,0,0.0
8,pkbsa,6947,6947,100.0,0,0.0
9,pabnum,6947,6947,100.0,0,0.0
10,pabpos,6947,6947,100.0,0,0.0
11,pkgpzg,6947,6947,100.0,0,0.0
12,hdflg,6947,6947,100.0,0,0.0
13,etens,6947,6947,100.0,0,0.0
14,zpunkt,6947,6947,100.0,0,0.0
15,prtnr,6947,6947,100.0,0,0.0
16,vbeln,6947,6947,100.0,0,0.0
17,vbelp,6947,6947,100.0,0,0.0
18,tbpos,6947,6947,100.0,0,0.0
19,rspos,6947,6947,100.0,0,0.0
20,mandt,6947,6947,100.0,0,0.0
21,rsnum,6947,6947,100.0,0,0.0
22,pkkey,6947,6947,100.0,0,0.0
23,pknum,6947,6947,100.0,0,0.0
24,pkpos,6947,6947,100.0,0,0.0
25,pkbst,6947,6947,100.0,0,0.0
26,pkimg,6947,6947,100.0,0,0.0
27,saedt,6947,6947,100.0,0,0.0
28,saeuz,6947,6947,100.0,0,0.0
29,sadt2,6947,6947,100.0,0,0.0
30,sauz2,6947,6947,100.0,0,0.0
31,plnum,6947,6947,100.0,0,0.0
32,aufnr,6947,6947,100.0,0,0.0
33,posnr,6947,6947,100.0,0,0.0
34,ebeln,6947,6947,100.0,0,0.0
35,ebelp,6947,6947,100.0,0,0.0
36,etenr,6947,6947,100.0,0,0.0
37,src_commit_time,6947,6947,100.0,0,0.0
