Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,66785,66785,100.0,0,0.0
2,mandt,66785,66785,100.0,0,0.0
3,aenam,66785,66785,100.0,0,0.0
4,aedat,66785,66785,100.0,0,0.0
5,annam,66785,66785,100.0,0,0.0
6,andat,66785,66785,100.0,0,0.0
7,parkz,66785,66785,100.0,0,0.0
8,loekz,66785,66785,100.0,0,0.0
9,aennr,66785,66785,100.0,0,0.0
10,techv,66785,66785,100.0,0,0.0
11,datuv,66785,66785,100.0,0,0.0
12,zaehl,66785,66785,100.0,0,0.0
13,plnkn,66785,66785,100.0,0,0.0
14,plnfl,66785,66785,100.0,0,0.0
15,plnal,66785,66785,100.0,0,0.0
16,plnnr,66785,66785,100.0,0,0.0
17,plnty,66785,66785,100.0,0,0.0
18,src_commit_time,66785,66785,100.0,0,0.0
