Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2027,2027,100.0,0,0.0
2,mgvgw,2027,2027,100.0,0,0.0
3,kzkbl,2027,2027,100.0,0,0.0
4,bzoffb,2027,2027,100.0,0,0.0
5,offstb,2027,2027,100.0,0,0.0
6,ehoffb,2027,2027,100.0,0,0.0
7,bzoffe,2027,2027,100.0,0,0.0
8,offste,2027,2027,100.0,0,0.0
9,ehoffe,2027,2027,100.0,0,0.0
10,mgeinh,2027,2027,100.0,0,0.0
11,mgform,2027,2027,100.0,0,0.0
12,mandt,2027,2027,100.0,0,0.0
13,eweinh,2027,2027,100.0,0,0.0
14,ewvgw,2027,2027,100.0,0,0.0
15,ewform,2027,2027,100.0,0,0.0
16,txtsp,2027,2027,100.0,0,0.0
17,ktsch,2027,2027,100.0,0,0.0
18,txtz1,2027,2027,100.0,0,0.0
19,knobj,2027,2027,100.0,0,0.0
20,gp_krit1,2027,2027,100.0,0,0.0
21,steuf,2027,2027,100.0,0,0.0
22,psnfh,2027,2027,100.0,0,0.0
23,plnkn,2027,2027,100.0,0,0.0
24,plnfl,2027,2027,100.0,0,0.0
25,plnty,2027,2027,100.0,0,0.0
26,plnnr,2027,2027,100.0,0,0.0
27,pzlfh,2027,2027,100.0,0,0.0
28,zaehl,2027,2027,100.0,0,0.0
29,datuv,2027,2027,100.0,0,0.0
30,techv,2027,2027,100.0,0,0.0
31,loekz,2027,2027,100.0,0,0.0
32,parkz,2027,2027,100.0,0,0.0
33,aennr,2027,2027,100.0,0,0.0
34,datui,2027,2027,100.0,0,0.0
35,useri,2027,2027,100.0,0,0.0
36,datuc,2027,2027,100.0,0,0.0
37,userc,2027,2027,100.0,0,0.0
38,objty,2027,2027,100.0,0,0.0
39,objid,2027,2027,100.0,0,0.0
40,objct,2027,2027,100.0,0,0.0
41,plnal,2027,2027,100.0,0,0.0
42,src_commit_time,2027,2027,100.0,0,0.0
