Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,441408,441408,100.0,0,0.0
2,muv005,441408,441408,100.0,0,0.0
3,meg012,441408,441408,100.0,0,0.0
4,meg013,441408,441408,100.0,0,0.0
5,meg014,441408,441408,100.0,0,0.0
6,meg015,441408,441408,100.0,0,0.0
7,meg016,441408,441408,100.0,0,0.0
8,muv000,441408,441408,100.0,0,0.0
9,muv001,441408,441408,100.0,0,0.0
10,muv002,441408,441408,100.0,0,0.0
11,muv003,441408,441408,100.0,0,0.0
12,muv004,441408,441408,100.0,0,0.0
13,muv006,441408,441408,100.0,0,0.0
14,mandt,441408,441408,100.0,0,0.0
15,muv007,441408,441408,100.0,0,0.0
16,muv008,441408,441408,100.0,0,0.0
17,muv009,441408,441408,100.0,0,0.0
18,muv010,441408,441408,100.0,0,0.0
19,muv011,441408,441408,100.0,0,0.0
20,muv012,441408,441408,100.0,0,0.0
21,muv013,441408,441408,100.0,0,0.0
22,muv014,441408,441408,100.0,0,0.0
23,muv015,441408,441408,100.0,0,0.0
24,muv016,441408,441408,100.0,0,0.0
25,meg011,441408,441408,100.0,0,0.0
26,meg010,441408,441408,100.0,0,0.0
27,meg009,441408,441408,100.0,0,0.0
28,meg008,441408,441408,100.0,0,0.0
29,objnr,441408,441408,100.0,0,0.0
30,cocur,441408,441408,100.0,0,0.0
31,beltp,441408,441408,100.0,0,0.0
32,wrttp,441408,441408,100.0,0,0.0
33,gjahr,441408,441408,100.0,0,0.0
34,acpos,441408,441408,100.0,0,0.0
35,versn,441408,441408,100.0,0,0.0
36,perbl,441408,441408,100.0,0,0.0
37,vorga,441408,441408,100.0,0,0.0
38,abkat,441408,441408,100.0,0,0.0
39,bemot,441408,441408,100.0,0,0.0
40,mentp,441408,441408,100.0,0,0.0
41,meinh,441408,441408,100.0,0,0.0
42,meg000,441408,441408,100.0,0,0.0
43,meg001,441408,441408,100.0,0,0.0
44,meg002,441408,441408,100.0,0,0.0
45,meg003,441408,441408,100.0,0,0.0
46,meg004,441408,441408,100.0,0,0.0
47,meg005,441408,441408,100.0,0,0.0
48,meg006,441408,441408,100.0,0,0.0
49,meg007,441408,441408,100.0,0,0.0
50,src_commit_time,441408,441408,100.0,0,0.0
