Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,704684,704684,100.0,0,0.0
2,etype,704684,704684,100.0,0,0.0
3,vname,704684,704684,100.0,0,0.0
4,pspid_edit,704684,704684,100.0,0,0.0
5,vpkstu,704684,704684,100.0,0,0.0
6,dppprof,704684,704684,100.0,0,0.0
7,spart,704684,704684,100.0,0,0.0
8,vtweg,704684,704684,100.0,0,0.0
9,vkorg,704684,704684,100.0,0,0.0
10,func_area,704684,704684,100.0,0,0.0
11,pargr,704684,704684,100.0,0,0.0
12,kzerb,704684,704684,100.0,0,0.0
13,logsystem,704684,704684,100.0,0,0.0
14,stort,704684,704684,100.0,0,0.0
15,pgprf,704684,704684,100.0,0,0.0
16,grtop,704684,704684,100.0,0,0.0
17,flgvrg,704684,704684,100.0,0,0.0
18,smprf,704684,704684,100.0,0,0.0
19,kzbws,704684,704684,100.0,0,0.0
20,inact,704684,704684,100.0,0,0.0
21,loevm,704684,704684,100.0,0,0.0
22,plint,704684,704684,100.0,0,0.0
23,pprof,704684,704684,100.0,0,0.0
24,postu,704684,704684,100.0,0,0.0
25,abgsl,704684,704684,100.0,0,0.0
26,recid,704684,704684,100.0,0,0.0
27,otype,704684,704684,100.0,0,0.0
28,mandt,704684,704684,100.0,0,0.0
29,jibcl,704684,704684,100.0,0,0.0
30,usr11,704684,704684,100.0,0,0.0
31,usr10,704684,704684,100.0,0,0.0
32,usr09,704684,704684,100.0,0,0.0
33,usr08,704684,704684,100.0,0,0.0
34,use07,704684,704684,100.0,0,0.0
35,usr07,704684,704684,100.0,0,0.0
36,use06,704684,704684,100.0,0,0.0
37,usr06,704684,704684,100.0,0,0.0
38,use05,704684,704684,100.0,0,0.0
39,usr05,704684,704684,100.0,0,0.0
40,use04,704684,704684,100.0,0,0.0
41,usr04,704684,704684,100.0,0,0.0
42,usr03,704684,704684,100.0,0,0.0
43,usr02,704684,704684,100.0,0,0.0
44,usr01,704684,704684,100.0,0,0.0
45,usr00,704684,704684,100.0,0,0.0
46,slwid,704684,704684,100.0,0,0.0
47,proj_status,704684,704684,100.0,0,0.0
48,ferc_ind,704684,704684,100.0,0,0.0
49,eprog,704684,704684,100.0,0,0.0
50,sprog,704684,704684,100.0,0,0.0
51,schtyp,704684,704684,100.0,0,0.0
52,jibsa,704684,704684,100.0,0,0.0
53,fmprf,704684,704684,100.0,0,0.0
54,imprf,704684,704684,100.0,0,0.0
55,scprf,704684,704684,100.0,0,0.0
56,zschm,704684,704684,100.0,0,0.0
57,trmeq,704684,704684,100.0,0,0.0
58,zuord,704684,704684,100.0,0,0.0
59,pwhie,704684,704684,100.0,0,0.0
60,prctr,704684,704684,100.0,0,0.0
61,vkokr,704684,704684,100.0,0,0.0
62,vgsbr,704684,704684,100.0,0,0.0
63,vbukr,704684,704684,100.0,0,0.0
64,astna,704684,704684,100.0,0,0.0
65,astnr,704684,704684,100.0,0,0.0
66,verna,704684,704684,100.0,0,0.0
67,vernr,704684,704684,100.0,0,0.0
68,stspr,704684,704684,100.0,0,0.0
69,stspd,704684,704684,100.0,0,0.0
70,autod,704684,704684,100.0,0,0.0
71,kimsk,704684,704684,100.0,0,0.0
72,aedat,704684,704684,100.0,0,0.0
73,aenam,704684,704684,100.0,0,0.0
74,erdat,704684,704684,100.0,0,0.0
75,ernam,704684,704684,100.0,0,0.0
76,objnr,704684,704684,100.0,0,0.0
77,post1,704684,704684,100.0,0,0.0
78,pspid,704684,704684,100.0,0,0.0
79,pspnr,704684,704684,100.0,0,0.0
80,plfaz,704684,704684,100.0,0,0.0
81,plsez,704684,704684,100.0,0,0.0
82,werks,704684,704684,100.0,0,0.0
83,aedte,704684,704684,100.0,0,0.0
84,txjcd,704684,704684,100.0,0,0.0
85,xstat,704684,704684,100.0,0,0.0
86,scope,704684,704684,100.0,0,0.0
87,besta,704684,704684,100.0,0,0.0
88,spsnr,704684,704684,100.0,0,0.0
89,berbu,704684,704684,100.0,0,0.0
90,berko,704684,704684,100.0,0,0.0
91,bertr,704684,704684,100.0,0,0.0
92,berst,704684,704684,100.0,0,0.0
93,aedtp,704684,704684,100.0,0,0.0
94,ktrg,704684,704684,100.0,0,0.0
95,kalid,704684,704684,100.0,0,0.0
96,kostl,704684,704684,100.0,0,0.0
97,txtsp,704684,704684,100.0,0,0.0
98,bprof,704684,704684,100.0,0,0.0
99,profl,704684,704684,100.0,0,0.0
100,vprof,704684,704684,100.0,0,0.0
101,plnaw,704684,704684,100.0,0,0.0
102,nzanz,704684,704684,100.0,0,0.0
103,zteht,704684,704684,100.0,0,0.0
104,ewplf,704684,704684,100.0,0,0.0
105,vgplf,704684,704684,100.0,0,0.0
106,src_commit_time,704684,704684,100.0,0,0.0
