Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2575,2575,100.0,0,0.0
2,pdatl,2575,2575,100.0,0,0.0
3,pprdv,2575,2575,100.0,0,0.0
4,pprdl,2575,2575,100.0,0,0.0
5,pprdz,2575,2575,100.0,0,0.0
6,kosgr,2575,2575,100.0,0,0.0
7,hrkft,2575,2575,100.0,0,0.0
8,vers3,2575,2575,100.0,0,0.0
9,vers2,2575,2575,100.0,0,0.0
10,vers1,2575,2575,100.0,0,0.0
11,bwva3,2575,2575,100.0,0,0.0
12,bwva2,2575,2575,100.0,0,0.0
13,bwva1,2575,2575,100.0,0,0.0
14,kaln1,2575,2575,100.0,0,0.0
15,kalkv,2575,2575,100.0,0,0.0
16,kalkl,2575,2575,100.0,0,0.0
17,kalkz,2575,2575,100.0,0,0.0
18,pdatz,2575,2575,100.0,0,0.0
19,pdatv,2575,2575,100.0,0,0.0
20,timestamp,2575,2575,100.0,0,0.0
21,ekalr,2575,2575,100.0,0,0.0
22,oklas,2575,2575,100.0,0,0.0
23,mbrue,2575,2575,100.0,0,0.0
24,fbwst,2575,2575,100.0,0,0.0
25,vbwst,2575,2575,100.0,0,0.0
26,lbwst,2575,2575,100.0,0,0.0
27,fplpx,2575,2575,100.0,0,0.0
28,vplpx,2575,2575,100.0,0,0.0
29,lplpx,2575,2575,100.0,0,0.0
30,bwspa,2575,2575,100.0,0,0.0
31,hkmat,2575,2575,100.0,0,0.0
32,vksal,2575,2575,100.0,0,0.0
33,lplpr,2575,2575,100.0,0,0.0
34,mlast,2575,2575,100.0,0,0.0
35,mlmaa,2575,2575,100.0,0,0.0
36,vplpr,2575,2575,100.0,0,0.0
37,zplpr,2575,2575,100.0,0,0.0
38,zkdat,2575,2575,100.0,0,0.0
39,mandt,2575,2575,100.0,0,0.0
40,vmver,2575,2575,100.0,0,0.0
41,vmsal,2575,2575,100.0,0,0.0
42,vmkum,2575,2575,100.0,0,0.0
43,salkv,2575,2575,100.0,0,0.0
44,bklas,2575,2575,100.0,0,0.0
45,peinh,2575,2575,100.0,0,0.0
46,stprs,2575,2575,100.0,0,0.0
47,verpr,2575,2575,100.0,0,0.0
48,vprsv,2575,2575,100.0,0,0.0
49,salk3,2575,2575,100.0,0,0.0
50,lbkum,2575,2575,100.0,0,0.0
51,pspnr,2575,2575,100.0,0,0.0
52,sobkz,2575,2575,100.0,0,0.0
53,bwtar,2575,2575,100.0,0,0.0
54,bwkey,2575,2575,100.0,0,0.0
55,matnr,2575,2575,100.0,0,0.0
56,vmvpr,2575,2575,100.0,0,0.0
57,vmstp,2575,2575,100.0,0,0.0
58,zkprs,2575,2575,100.0,0,0.0
59,vmpei,2575,2575,100.0,0,0.0
60,laepr,2575,2575,100.0,0,0.0
61,stprv,2575,2575,100.0,0,0.0
62,bwtty,2575,2575,100.0,0,0.0
63,lfmon,2575,2575,100.0,0,0.0
64,lfgja,2575,2575,100.0,0,0.0
65,vjsav,2575,2575,100.0,0,0.0
66,vjbkl,2575,2575,100.0,0,0.0
67,vjpei,2575,2575,100.0,0,0.0
68,vjstp,2575,2575,100.0,0,0.0
69,vjver,2575,2575,100.0,0,0.0
70,vjvpr,2575,2575,100.0,0,0.0
71,vjsal,2575,2575,100.0,0,0.0
72,vjkum,2575,2575,100.0,0,0.0
73,vmsav,2575,2575,100.0,0,0.0
74,vmbkl,2575,2575,100.0,0,0.0
75,src_commit_time,2575,2575,100.0,0,0.0
