Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,29981,29981,100.0,0,0.0
2,mandt,29981,29981,100.0,0,0.0
3,unitflbew,29981,29981,100.0,0,0.0
4,feart,29981,29981,100.0,0,0.0
5,pnlkn,29981,29981,100.0,0,0.0
6,merknr,29981,29981,100.0,0,0.0
7,probenr,29981,29981,100.0,0,0.0
8,phynr,29981,29981,100.0,0,0.0
9,prueflinr,29981,29981,100.0,0,0.0
10,crobjty,29981,29981,100.0,0,0.0
11,arbpl,29981,29981,100.0,0,0.0
12,arbplwerk,29981,29981,100.0,0,0.0
13,fenumorg,29981,29981,100.0,0,0.0
14,kzsysfe,29981,29981,100.0,0,0.0
15,kzloesch,29981,29981,100.0,0,0.0
16,posnr,29981,29981,100.0,0,0.0
17,herpos,29981,29981,100.0,0,0.0
18,autkz,29981,29981,100.0,0,0.0
19,matnr,29981,29981,100.0,0,0.0
20,werks,29981,29981,100.0,0,0.0
21,ekorg,29981,29981,100.0,0,0.0
22,infnr,29981,29981,100.0,0,0.0
23,kostl,29981,29981,100.0,0,0.0
24,lstar,29981,29981,100.0,0,0.0
25,prznr,29981,29981,100.0,0,0.0
26,menge,29981,29981,100.0,0,0.0
27,equnr,29981,29981,100.0,0,0.0
28,tplnr,29981,29981,100.0,0,0.0
29,src_commit_time,29981,29981,100.0,0,0.0
30,fehlbew,29981,29981,100.0,0,0.0
31,anzfehler,29981,29981,100.0,0,0.0
32,fmgein,29981,29981,100.0,0,0.0
33,otgrp,29981,29981,100.0,0,0.0
34,qmnum,29981,29981,100.0,0,0.0
35,fenum,29981,29981,100.0,0,0.0
36,ernam,29981,29981,100.0,0,0.0
37,erdat,29981,29981,100.0,0,0.0
38,aenam,29981,29981,100.0,0,0.0
39,aedat,29981,29981,100.0,0,0.0
40,fetxt,29981,29981,100.0,0,0.0
41,fekat,29981,29981,100.0,0,0.0
42,fegrp,29981,29981,100.0,0,0.0
43,fecod,29981,29981,100.0,0,0.0
44,fever,29981,29981,100.0,0,0.0
45,otkat,29981,29981,100.0,0,0.0
46,oteil,29981,29981,100.0,0,0.0
47,fmgeig,29981,29981,100.0,0,0.0
48,otver,29981,29981,100.0,0,0.0
49,bautl,29981,29981,100.0,0,0.0
50,ebort,29981,29981,100.0,0,0.0
51,indtx,29981,29981,100.0,0,0.0
52,kzmla,29981,29981,100.0,0,0.0
53,erzeit,29981,29981,100.0,0,0.0
54,aezeit,29981,29981,100.0,0,0.0
55,kzorg,29981,29981,100.0,0,0.0
56,wdfeh,29981,29981,100.0,0,0.0
57,feqklas,29981,29981,100.0,0,0.0
58,fcoaufnr,29981,29981,100.0,0,0.0
59,fmgfrd,29981,29981,100.0,0,0.0
60,zz_impact,29981,29981,100.0,0,0.0
