Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,30428,30428,100.0,0,0.0
2,urnum,30428,30428,100.0,0,0.0
3,aezeit,30428,30428,100.0,0,0.0
4,parvw,30428,30428,100.0,0,0.0
5,parnr,30428,30428,100.0,0,0.0
6,mmenge,30428,30428,100.0,0,0.0
7,mmgein,30428,30428,100.0,0,0.0
8,bautl,30428,30428,100.0,0,0.0
9,kzloesch,30428,30428,100.0,0,0.0
10,qsmnum,30428,30428,100.0,0,0.0
11,autkz,30428,30428,100.0,0,0.0
12,handle,30428,30428,100.0,0,0.0
13,tsegfl,30428,30428,100.0,0,0.0
14,tsegtp,30428,30428,100.0,0,0.0
15,tzonso,30428,30428,100.0,0,0.0
16,tzonsm,30428,30428,100.0,0,0.0
17,tzonid,30428,30428,100.0,0,0.0
18,kzactionbox,30428,30428,100.0,0,0.0
19,funktion,30428,30428,100.0,0,0.0
20,/sapsmoss/note,30428,30428,100.0,0,0.0
21,/sapsmoss/report,30428,30428,100.0,0,0.0
22,/sapsmoss/mtstmp,30428,30428,100.0,0,0.0
23,abc_templ,30428,30428,100.0,0,0.0
24,effectperc,30428,30428,100.0,0,0.0
25,effecttext,30428,30428,100.0,0,0.0
26,erzeit,30428,30428,100.0,0,0.0
27,fenum,30428,30428,100.0,0,0.0
28,mandt,30428,30428,100.0,0,0.0
29,wdvdat,30428,30428,100.0,0,0.0
30,qmnum,30428,30428,100.0,0,0.0
31,manum,30428,30428,100.0,0,0.0
32,mnkat,30428,30428,100.0,0,0.0
33,mngrp,30428,30428,100.0,0,0.0
34,mncod,30428,30428,100.0,0,0.0
35,mnver,30428,30428,100.0,0,0.0
36,folgeact,30428,30428,100.0,0,0.0
37,folactprot,30428,30428,100.0,0,0.0
38,matxt,30428,30428,100.0,0,0.0
39,ernam,30428,30428,100.0,0,0.0
40,erdat,30428,30428,100.0,0,0.0
41,aenam,30428,30428,100.0,0,0.0
42,aedat,30428,30428,100.0,0,0.0
43,pster,30428,30428,100.0,0,0.0
44,peter,30428,30428,100.0,0,0.0
45,objnr,30428,30428,100.0,0,0.0
46,indtx,30428,30428,100.0,0,0.0
47,kzmla,30428,30428,100.0,0,0.0
48,pstur,30428,30428,100.0,0,0.0
49,petur,30428,30428,100.0,0,0.0
50,erlnam,30428,30428,100.0,0,0.0
51,erldat,30428,30428,100.0,0,0.0
52,erlzeit,30428,30428,100.0,0,0.0
53,src_commit_time,30428,30428,100.0,0,0.0
