Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,15535261,15535261,100.0,0,0.0
2,pargb,15535261,15535261,100.0,0,0.0
3,mwart,15535261,15535261,100.0,0,0.0
4,meins,15535261,15535261,100.0,0,0.0
5,zuonr,15535261,15535261,100.0,0,0.0
6,vornr,15535261,15535261,100.0,0,0.0
7,nplnr,15535261,15535261,100.0,0,0.0
8,xskrl,15535261,15535261,100.0,0,0.0
9,pernr,15535261,15535261,100.0,0,0.0
10,kblpos,15535261,15535261,100.0,0,0.0
11,aufpl,15535261,15535261,100.0,0,0.0
12,kblnr,15535261,15535261,100.0,0,0.0
13,fikrs,15535261,15535261,100.0,0,0.0
14,erlkz,15535261,15535261,100.0,0,0.0
15,xnegp,15535261,15535261,100.0,0,0.0
16,bnkan_fw,15535261,15535261,100.0,0,0.0
17,bzdat,15535261,15535261,100.0,0,0.0
18,shkzg,15535261,15535261,100.0,0,0.0
19,fwbas,15535261,15535261,100.0,0,0.0
20,hwbas,15535261,15535261,100.0,0,0.0
21,abper,15535261,15535261,100.0,0,0.0
22,ledat,15535261,15535261,100.0,0,0.0
23,zzxref2,15535261,15535261,100.0,0,0.0
24,zzxref1,15535261,15535261,100.0,0,0.0
25,fmfgus_key,15535261,15535261,100.0,0,0.0
26,parked_qty_f,15535261,15535261,100.0,0,0.0
27,parked_qty,15535261,15535261,100.0,0,0.0
28,aa_final_qty_f,15535261,15535261,100.0,0,0.0
29,aa_final_qty,15535261,15535261,100.0,0,0.0
30,aa_final_ind,15535261,15535261,100.0,0,0.0
31,spgrs,15535261,15535261,100.0,0,0.0
32,koart,15535261,15535261,100.0,0,0.0
33,measure,15535261,15535261,100.0,0,0.0
34,budget_pd,15535261,15535261,100.0,0,0.0
35,werks,15535261,15535261,100.0,0,0.0
36,bpmng_f,15535261,15535261,100.0,0,0.0
37,menge_f,15535261,15535261,100.0,0,0.0
38,bukrs,15535261,15535261,100.0,0,0.0
39,prznr,15535261,15535261,100.0,0,0.0
40,mandt,15535261,15535261,100.0,0,0.0
41,aufnr,15535261,15535261,100.0,0,0.0
42,gsber,15535261,15535261,100.0,0,0.0
43,grant_nbr,15535261,15535261,100.0,0,0.0
44,geber,15535261,15535261,100.0,0,0.0
45,fkber,15535261,15535261,100.0,0,0.0
46,fistl,15535261,15535261,100.0,0,0.0
47,fipos,15535261,15535261,100.0,0,0.0
48,dabrz,15535261,15535261,100.0,0,0.0
49,aplzl,15535261,15535261,100.0,0,0.0
50,lstar,15535261,15535261,100.0,0,0.0
51,anln2,15535261,15535261,100.0,0,0.0
52,anln1,15535261,15535261,100.0,0,0.0
53,wrbtr,15535261,15535261,100.0,0,0.0
54,cobl_nr,15535261,15535261,100.0,0,0.0
55,buzei,15535261,15535261,100.0,0,0.0
56,gjahr,15535261,15535261,100.0,0,0.0
57,belnr,15535261,15535261,100.0,0,0.0
58,imkey,15535261,15535261,100.0,0,0.0
59,kokrs,15535261,15535261,100.0,0,0.0
60,kostl,15535261,15535261,100.0,0,0.0
61,kstrg,15535261,15535261,100.0,0,0.0
62,xunpl,15535261,15535261,100.0,0,0.0
63,bpmng,15535261,15535261,100.0,0,0.0
64,zekkn,15535261,15535261,100.0,0,0.0
65,mwskz,15535261,15535261,100.0,0,0.0
66,menge,15535261,15535261,100.0,0,0.0
67,vptnr,15535261,15535261,100.0,0,0.0
68,vbelp,15535261,15535261,100.0,0,0.0
69,vbeln,15535261,15535261,100.0,0,0.0
70,txjcd,15535261,15535261,100.0,0,0.0
71,sgtxt,15535261,15535261,100.0,0,0.0
72,saknr,15535261,15535261,100.0,0,0.0
73,recid,15535261,15535261,100.0,0,0.0
74,ps_psp_pnr,15535261,15535261,100.0,0,0.0
75,prctr,15535261,15535261,100.0,0,0.0
76,paobjnr,15535261,15535261,100.0,0,0.0
77,src_commit_time,15535261,15535261,100.0,0,0.0
