Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,5899836,5899836,100.0,0,0.0
2,bkon1,5899836,5899836,100.0,0,0.0
3,ediav,5899836,5899836,100.0,0,0.0
4,idoc_num_avis,5899836,5899836,100.0,0,0.0
5,edibn,5899836,5899836,100.0,0,0.0
6,idoc_num,5899836,5899836,100.0,0,0.0
7,ztelf,5899836,5899836,100.0,0,0.0
8,ztelx,5899836,5899836,100.0,0,0.0
9,koinh,5899836,5899836,100.0,0,0.0
10,dtws1,5899836,5899836,100.0,0,0.0
11,dtws2,5899836,5899836,100.0,0,0.0
12,dtws3,5899836,5899836,100.0,0,0.0
13,dtws4,5899836,5899836,100.0,0,0.0
14,zstc1,5899836,5899836,100.0,0,0.0
15,kidno,5899836,5899836,100.0,0,0.0
16,pyord,5899836,5899836,100.0,0,0.0
17,regio,5899836,5899836,100.0,0,0.0
18,text,5899836,5899836,100.0,0,0.0
19,btyp1,5899836,5899836,100.0,0,0.0
20,bnks1,5899836,5899836,100.0,0,0.0
21,bnkl1,5899836,5899836,100.0,0,0.0
22,augdt,5899836,5899836,100.0,0,0.0
23,ausfd,5899836,5899836,100.0,0,0.0
24,btznr,5899836,5899836,100.0,0,0.0
25,rsko3,5899836,5899836,100.0,0,0.0
26,paygr,5899836,5899836,100.0,0,0.0
27,zbnky,5899836,5899836,100.0,0,0.0
28,ubnky,5899836,5899836,100.0,0,0.0
29,pstl2,5899836,5899836,100.0,0,0.0
30,absbu,5899836,5899836,100.0,0,0.0
31,rbet2,5899836,5899836,100.0,0,0.0
32,rbet3,5899836,5899836,100.0,0,0.0
33,rsko2,5899836,5899836,100.0,0,0.0
34,kurs2,5899836,5899836,100.0,0,0.0
35,seqnr,5899836,5899836,100.0,0,0.0
36,kurs3,5899836,5899836,100.0,0,0.0
37,bkref,5899836,5899836,100.0,0,0.0
38,uzawe,5899836,5899836,100.0,0,0.0
39,zort2,5899836,5899836,100.0,0,0.0
40,ztlfx,5899836,5899836,100.0,0,0.0
41,xsiwe,5899836,5899836,100.0,0,0.0
42,zpfor,5899836,5899836,100.0,0,0.0
43,pernr,5899836,5899836,100.0,0,0.0
44,bnkn1,5899836,5899836,100.0,0,0.0
45,bkrf1,5899836,5899836,100.0,0,0.0
46,dskvh,5899836,5899836,100.0,0,0.0
47,iban1,5899836,5899836,100.0,0,0.0
48,srtf2,5899836,5899836,100.0,0,0.0
49,srtf3,5899836,5899836,100.0,0,0.0
50,xcorr,5899836,5899836,100.0,0,0.0
51,xavis,5899836,5899836,100.0,0,0.0
52,xcopm,5899836,5899836,100.0,0,0.0
53,dorigin,5899836,5899836,100.0,0,0.0
54,rfttrn,5899836,5899836,100.0,0,0.0
55,zadnr,5899836,5899836,100.0,0,0.0
56,adrnr,5899836,5899836,100.0,0,0.0
57,ziban,5899836,5899836,100.0,0,0.0
58,mguid,5899836,5899836,100.0,0,0.0
59,seq_type,5899836,5899836,100.0,0,0.0
60,xmlst,5899836,5899836,100.0,0,0.0
61,timestamp_avis,5899836,5899836,100.0,0,0.0
62,fm_status,5899836,5899836,100.0,0,0.0
63,file_nbr,5899836,5899836,100.0,0,0.0
64,inst_code,5899836,5899836,100.0,0,0.0
65,purp_code,5899836,5899836,100.0,0,0.0
66,uetr,5899836,5899836,100.0,0,0.0
67,srtf1,5899836,5899836,100.0,0,0.0
68,grpno,5899836,5899836,100.0,0,0.0
69,fpm_key,5899836,5899836,100.0,0,0.0
70,bnks3,5899836,5899836,100.0,0,0.0
71,btyp2,5899836,5899836,100.0,0,0.0
72,bnks2,5899836,5899836,100.0,0,0.0
73,bnkl2,5899836,5899836,100.0,0,0.0
74,bnkn2,5899836,5899836,100.0,0,0.0
75,bkon2,5899836,5899836,100.0,0,0.0
76,bkrf2,5899836,5899836,100.0,0,0.0
77,iban2,5899836,5899836,100.0,0,0.0
78,btyp3,5899836,5899836,100.0,0,0.0
79,bnkl3,5899836,5899836,100.0,0,0.0
80,srtbp,5899836,5899836,100.0,0,0.0
81,bnkn3,5899836,5899836,100.0,0,0.0
82,bkon3,5899836,5899836,100.0,0,0.0
83,bkrf3,5899836,5899836,100.0,0,0.0
84,iban3,5899836,5899836,100.0,0,0.0
85,saknr,5899836,5899836,100.0,0,0.0
86,hkont,5899836,5899836,100.0,0,0.0
87,alebn,5899836,5899836,100.0,0,0.0
88,xkdfb,5899836,5899836,100.0,0,0.0
89,zpst2,5899836,5899836,100.0,0,0.0
90,skvfw,5899836,5899836,100.0,0,0.0
91,mandt,5899836,5899836,100.0,0,0.0
92,zaldt,5899836,5899836,100.0,0,0.0
93,wevwv,5899836,5899836,100.0,0,0.0
94,zanre,5899836,5899836,100.0,0,0.0
95,znme1,5899836,5899836,100.0,0,0.0
96,znme2,5899836,5899836,100.0,0,0.0
97,znme3,5899836,5899836,100.0,0,0.0
98,znme4,5899836,5899836,100.0,0,0.0
99,zpstl,5899836,5899836,100.0,0,0.0
100,zort1,5899836,5899836,100.0,0,0.0
101,zstra,5899836,5899836,100.0,0,0.0
102,zpfac,5899836,5899836,100.0,0,0.0
103,zland,5899836,5899836,100.0,0,0.0
104,zregi,5899836,5899836,100.0,0,0.0
105,zbnks,5899836,5899836,100.0,0,0.0
106,zbnkn,5899836,5899836,100.0,0,0.0
107,zbnkl,5899836,5899836,100.0,0,0.0
108,zbkon,5899836,5899836,100.0,0,0.0
109,zbvty,5899836,5899836,100.0,0,0.0
110,zswif,5899836,5899836,100.0,0,0.0
111,xezer,5899836,5899836,100.0,0,0.0
112,stcd1,5899836,5899836,100.0,0,0.0
113,land1,5899836,5899836,100.0,0,0.0
114,pfach,5899836,5899836,100.0,0,0.0
115,avisg,5899836,5899836,100.0,0,0.0
116,laufd,5899836,5899836,100.0,0,0.0
117,laufi,5899836,5899836,100.0,0,0.0
118,xvorl,5899836,5899836,100.0,0,0.0
119,zbukr,5899836,5899836,100.0,0,0.0
120,lifnr,5899836,5899836,100.0,0,0.0
121,kunnr,5899836,5899836,100.0,0,0.0
122,empfg,5899836,5899836,100.0,0,0.0
123,vblnr,5899836,5899836,100.0,0,0.0
124,waers,5899836,5899836,100.0,0,0.0
125,stras,5899836,5899836,100.0,0,0.0
126,srtgb,5899836,5899836,100.0,0,0.0
127,anred,5899836,5899836,100.0,0,0.0
128,name1,5899836,5899836,100.0,0,0.0
129,name2,5899836,5899836,100.0,0,0.0
130,name3,5899836,5899836,100.0,0,0.0
131,name4,5899836,5899836,100.0,0,0.0
132,pstlz,5899836,5899836,100.0,0,0.0
133,ort01,5899836,5899836,100.0,0,0.0
134,zspra,5899836,5899836,100.0,0,0.0
135,rzawe,5899836,5899836,100.0,0,0.0
136,skvhw,5899836,5899836,100.0,0,0.0
137,rumsk,5899836,5899836,100.0,0,0.0
138,rpost,5899836,5899836,100.0,0,0.0
139,rtext,5899836,5899836,100.0,0,0.0
140,rspm1,5899836,5899836,100.0,0,0.0
141,rspm2,5899836,5899836,100.0,0,0.0
142,wehmx,5899836,5899836,100.0,0,0.0
143,wefmx,5899836,5899836,100.0,0,0.0
144,wehrs,5899836,5899836,100.0,0,0.0
145,wefrs,5899836,5899836,100.0,0,0.0
146,weamx,5899836,5899836,100.0,0,0.0
147,busab,5899836,5899836,100.0,0,0.0
148,eikto,5899836,5899836,100.0,0,0.0
149,xinve,5899836,5899836,100.0,0,0.0
150,wdate,5899836,5899836,100.0,0,0.0
151,xaend,5899836,5899836,100.0,0,0.0
152,zlspr,5899836,5899836,100.0,0,0.0
153,dtaws,5899836,5899836,100.0,0,0.0
154,dtams,5899836,5899836,100.0,0,0.0
155,kursf,5899836,5899836,100.0,0,0.0
156,abwae,5899836,5899836,100.0,0,0.0
157,rspe2,5899836,5899836,100.0,0,0.0
158,rspe1,5899836,5899836,100.0,0,0.0
159,rwskt,5899836,5899836,100.0,0,0.0
160,ubnks,5899836,5899836,100.0,0,0.0
161,rzums,5899836,5899836,100.0,0,0.0
162,hktid,5899836,5899836,100.0,0,0.0
163,hbkid,5899836,5899836,100.0,0,0.0
164,hktiw,5899836,5899836,100.0,0,0.0
165,hbkiw,5899836,5899836,100.0,0,0.0
166,bvtyp,5899836,5899836,100.0,0,0.0
167,ubkon,5899836,5899836,100.0,0,0.0
168,ubknt,5899836,5899836,100.0,0,0.0
169,ubnkl,5899836,5899836,100.0,0,0.0
170,rwbtr,5899836,5899836,100.0,0,0.0
171,uiban,5899836,5899836,100.0,0,0.0
172,ubhkt,5899836,5899836,100.0,0,0.0
173,valut,5899836,5899836,100.0,0,0.0
174,crval,5899836,5899836,100.0,0,0.0
175,anfae,5899836,5899836,100.0,0,0.0
176,wefae,5899836,5899836,100.0,0,0.0
177,rbetr,5899836,5899836,100.0,0,0.0
178,rskon,5899836,5899836,100.0,0,0.0
179,src_commit_time,5899836,5899836,100.0,0,0.0
