Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,47656107,47656107,100.0,0,0.0
2,dbskz,47656107,47656107,100.0,0,0.0
3,lgnum,47656107,47656107,100.0,0,0.0
4,lgtyp,47656107,47656107,100.0,0,0.0
5,lgpla,47656107,47656107,100.0,0,0.0
6,kbnkz,47656107,47656107,100.0,0,0.0
7,kzkup,47656107,47656107,100.0,0,0.0
8,no_disp,47656107,47656107,100.0,0,0.0
9,bdztp,47656107,47656107,100.0,0,0.0
10,esmng,47656107,47656107,100.0,0,0.0
11,alpgr,47656107,47656107,100.0,0,0.0
12,alprf,47656107,47656107,100.0,0,0.0
13,alpst,47656107,47656107,100.0,0,0.0
14,kzaus,47656107,47656107,100.0,0,0.0
15,nfeag,47656107,47656107,100.0,0,0.0
16,nfpkz,47656107,47656107,100.0,0,0.0
17,nfgrp,47656107,47656107,100.0,0,0.0
18,nfuml,47656107,47656107,100.0,0,0.0
19,clakz,47656107,47656107,100.0,0,0.0
20,revlv,47656107,47656107,100.0,0,0.0
21,kfpos,47656107,47656107,100.0,0,0.0
22,cuobj,47656107,47656107,100.0,0,0.0
23,ebeln,47656107,47656107,100.0,0,0.0
24,dumps,47656107,47656107,100.0,0,0.0
25,beikz,47656107,47656107,100.0,0,0.0
26,erskz,47656107,47656107,100.0,0,0.0
27,aufst,47656107,47656107,100.0,0,0.0
28,aufwg,47656107,47656107,100.0,0,0.0
29,baust,47656107,47656107,100.0,0,0.0
30,bauwg,47656107,47656107,100.0,0,0.0
31,ebelp,47656107,47656107,100.0,0,0.0
32,vmeng,47656107,47656107,100.0,0,0.0
33,ebele,47656107,47656107,100.0,0,0.0
34,knttp,47656107,47656107,100.0,0,0.0
35,kzvbr,47656107,47656107,100.0,0,0.0
36,pspel,47656107,47656107,100.0,0,0.0
37,aplzl,47656107,47656107,100.0,0,0.0
38,mandt,47656107,47656107,100.0,0,0.0
39,rgekz,47656107,47656107,100.0,0,0.0
40,inpos,47656107,47656107,100.0,0,0.0
41,lifnr,47656107,47656107,100.0,0,0.0
42,kzmpf,47656107,47656107,100.0,0,0.0
43,wty_ind,47656107,47656107,100.0,0,0.0
44,prio_req,47656107,47656107,100.0,0,0.0
45,kblnr,47656107,47656107,100.0,0,0.0
46,kblpos,47656107,47656107,100.0,0,0.0
47,budget_pd,47656107,47656107,100.0,0,0.0
48,sc_object_id,47656107,47656107,100.0,0,0.0
49,sc_itm_no,47656107,47656107,100.0,0,0.0
50,advcode,47656107,47656107,100.0,0,0.0
51,r_part_indicator,47656107,47656107,100.0,0,0.0
52,fkber,47656107,47656107,100.0,0,0.0
53,wtysc_clmitem,47656107,47656107,100.0,0,0.0
54,sgt_scat,47656107,47656107,100.0,0,0.0
55,sgt_rcat,47656107,47656107,100.0,0,0.0
56,fmfgus_key,47656107,47656107,100.0,0,0.0
57,fsh_ralloc_qty,47656107,47656107,100.0,0,0.0
58,fsh_critical_comp,47656107,47656107,100.0,0,0.0
59,fsh_critical_level,47656107,47656107,100.0,0,0.0
60,prio_urg,47656107,47656107,100.0,0,0.0
61,grant_nbr,47656107,47656107,100.0,0,0.0
62,stlal,47656107,47656107,100.0,0,0.0
63,techs,47656107,47656107,100.0,0,0.0
64,pbdnr,47656107,47656107,100.0,0,0.0
65,stvkn,47656107,47656107,100.0,0,0.0
66,ktoma,47656107,47656107,100.0,0,0.0
67,vrpla,47656107,47656107,100.0,0,0.0
68,kzbws,47656107,47656107,100.0,0,0.0
69,nlfzv,47656107,47656107,100.0,0,0.0
70,nlfmv,47656107,47656107,100.0,0,0.0
71,objtype,47656107,47656107,100.0,0,0.0
72,geber,47656107,47656107,100.0,0,0.0
73,ch_proc,47656107,47656107,100.0,0,0.0
74,fxpru,47656107,47656107,100.0,0,0.0
75,umsok,47656107,47656107,100.0,0,0.0
76,vorab_sm,47656107,47656107,100.0,0,0.0
77,fipos,47656107,47656107,100.0,0,0.0
78,fipex,47656107,47656107,100.0,0,0.0
79,fistl,47656107,47656107,100.0,0,0.0
80,txtps,47656107,47656107,100.0,0,0.0
81,src_commit_time,47656107,47656107,100.0,0,0.0
82,upskz,47656107,47656107,100.0,0,0.0
83,stlnr,47656107,47656107,100.0,0,0.0
84,postp,47656107,47656107,100.0,0,0.0
85,posnr,47656107,47656107,100.0,0,0.0
86,roms1,47656107,47656107,100.0,0,0.0
87,roms2,47656107,47656107,100.0,0,0.0
88,roms3,47656107,47656107,100.0,0,0.0
89,romei,47656107,47656107,100.0,0,0.0
90,romen,47656107,47656107,100.0,0,0.0
91,enmng,47656107,47656107,100.0,0,0.0
92,fmeng,47656107,47656107,100.0,0,0.0
93,rohps,47656107,47656107,100.0,0,0.0
94,shkzg,47656107,47656107,100.0,0,0.0
95,meins,47656107,47656107,100.0,0,0.0
96,rform,47656107,47656107,100.0,0,0.0
97,roanz,47656107,47656107,100.0,0,0.0
98,bdmng,47656107,47656107,100.0,0,0.0
99,nomng,47656107,47656107,100.0,0,0.0
100,nomat,47656107,47656107,100.0,0,0.0
101,nafkz,47656107,47656107,100.0,0,0.0
102,sernr,47656107,47656107,100.0,0,0.0
103,saknr,47656107,47656107,100.0,0,0.0
104,kdein,47656107,47656107,100.0,0,0.0
105,kdpos,47656107,47656107,100.0,0,0.0
106,umwrk,47656107,47656107,100.0,0,0.0
107,umlgo,47656107,47656107,100.0,0,0.0
108,kdauf,47656107,47656107,100.0,0,0.0
109,baugr,47656107,47656107,100.0,0,0.0
110,schgt,47656107,47656107,100.0,0,0.0
111,aufnr,47656107,47656107,100.0,0,0.0
112,bnfpo,47656107,47656107,100.0,0,0.0
113,banfn,47656107,47656107,100.0,0,0.0
114,plnum,47656107,47656107,100.0,0,0.0
115,erfme,47656107,47656107,100.0,0,0.0
116,erfmg,47656107,47656107,100.0,0,0.0
117,stlty,47656107,47656107,100.0,0,0.0
118,bdter,47656107,47656107,100.0,0,0.0
119,stlkn,47656107,47656107,100.0,0,0.0
120,netau,47656107,47656107,100.0,0,0.0
121,sobkz,47656107,47656107,100.0,0,0.0
122,rspos,47656107,47656107,100.0,0,0.0
123,sanka,47656107,47656107,100.0,0,0.0
124,alpos,47656107,47656107,100.0,0,0.0
125,ewahr,47656107,47656107,100.0,0,0.0
126,ausch,47656107,47656107,100.0,0,0.0
127,avoau,47656107,47656107,100.0,0,0.0
128,rsnum,47656107,47656107,100.0,0,0.0
129,potx2,47656107,47656107,100.0,0,0.0
130,nlfzt,47656107,47656107,100.0,0,0.0
131,aennr,47656107,47656107,100.0,0,0.0
132,umrez,47656107,47656107,100.0,0,0.0
133,umren,47656107,47656107,100.0,0,0.0
134,sortf,47656107,47656107,100.0,0,0.0
135,sbter,47656107,47656107,100.0,0,0.0
136,verti,47656107,47656107,100.0,0,0.0
137,bdart,47656107,47656107,100.0,0,0.0
138,rsart,47656107,47656107,100.0,0,0.0
139,potx1,47656107,47656107,100.0,0,0.0
140,xfehl,47656107,47656107,100.0,0,0.0
141,stpoz,47656107,47656107,100.0,0,0.0
142,charg,47656107,47656107,100.0,0,0.0
143,prvbe,47656107,47656107,100.0,0,0.0
144,lgort,47656107,47656107,100.0,0,0.0
145,rssta,47656107,47656107,100.0,0,0.0
146,matnr,47656107,47656107,100.0,0,0.0
147,werks,47656107,47656107,100.0,0,0.0
148,ltxsp,47656107,47656107,100.0,0,0.0
149,kzear,47656107,47656107,100.0,0,0.0
150,xwaok,47656107,47656107,100.0,0,0.0
151,xloek,47656107,47656107,100.0,0,0.0
152,splkz,47584407,47656107,99.8,71700,0.2
153,prreg,37428453,47656107,78.5,10227654,21.5
154,enwrt,37105637,47656107,77.9,10550470,22.1
155,plpla,37105637,47656107,77.9,10550470,22.1
156,waers,37105637,47656107,77.9,10550470,22.1
157,projn,37105637,47656107,77.9,10550470,22.1
158,bwart,37105637,47656107,77.9,10550470,22.1
159,infnr,37105637,47656107,77.9,10550470,22.1
160,kzech,37105637,47656107,77.9,10550470,22.1
161,chobj,37105637,47656107,77.9,10550470,22.1
162,peinh_2,37105637,47656107,77.9,10550470,22.1
163,tbmng,37105637,47656107,77.9,10550470,22.1
164,berkz,37105637,47656107,77.9,10550470,22.1
165,lifzt,37105637,47656107,77.9,10550470,22.1
166,zudiv,37105637,47656107,77.9,10550470,22.1
167,zums3,37105637,47656107,77.9,10550470,22.1
168,zums2,37105637,47656107,77.9,10550470,22.1
169,zums1,37105637,47656107,77.9,10550470,22.1
170,zumei,37105637,47656107,77.9,10550470,22.1
171,rokme,37105637,47656107,77.9,10550470,22.1
172,ekgrp,37105637,47656107,77.9,10550470,22.1
173,peinh,37105637,47656107,77.9,10550470,22.1
174,fpreis,37105637,47656107,77.9,10550470,22.1
175,gpreis,37105637,47656107,77.9,10550470,22.1
176,flgat,37105637,47656107,77.9,10550470,22.1
177,vornr,37105637,47656107,77.9,10550470,22.1
178,plnfl,37105637,47656107,77.9,10550470,22.1
179,aufpl,37105637,47656107,77.9,10550470,22.1
180,aufps,37105637,47656107,77.9,10550470,22.1
181,flmng,37105637,47656107,77.9,10550470,22.1
182,nptxtky,37105637,47656107,77.9,10550470,22.1
183,fpreis_2,37105637,47656107,77.9,10550470,22.1
184,lmeng,37105637,47656107,77.9,10550470,22.1
185,gpreis_2,37105637,47656107,77.9,10550470,22.1
186,funct,37105637,47656107,77.9,10550470,22.1
187,flgex,37105637,47656107,77.9,10550470,22.1
188,gsber,37105637,47656107,77.9,10550470,22.1
189,webaz,37105637,47656107,77.9,10550470,22.1
190,frunv,37105637,47656107,77.9,10550470,22.1
191,matkl,37105637,47656107,77.9,10550470,22.1
192,vorab,37105637,47656107,77.9,10550470,22.1
193,hrkft,37105637,47656107,77.9,10550470,22.1
194,hkmat,37105637,47656107,77.9,10550470,22.1
195,ablad,37105637,47656107,77.9,10550470,22.1
196,wempf,37105637,47656107,77.9,10550470,22.1
197,knumh,37105637,47656107,77.9,10550470,22.1
198,splrv,37105637,47656107,77.9,10550470,22.1
199,adrnr,37105637,47656107,77.9,10550470,22.1
200,sgtxt,37105637,47656107,77.9,10550470,22.1
201,afpos,37105637,47656107,77.9,10550470,22.1
202,objnr,37105637,47656107,77.9,10550470,22.1
