Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,7015651,7015651,100.0,0,0.0
2,mandt,7015651,7015651,100.0,0,0.0
3,reason_code,7015651,7015651,100.0,0,0.0
4,stat_user_line,7015651,7015651,100.0,0,0.0
5,stat_line,7015651,7015651,100.0,0,0.0
6,stat_objnr,7015651,7015651,100.0,0,0.0
7,stat_para,7015651,7015651,100.0,0,0.0
8,stat_orderno,7015651,7015651,100.0,0,0.0
9,profile_id,7015651,7015651,100.0,0,0.0
10,secure_level,7015651,7015651,100.0,0,0.0
11,priority,7015651,7015651,100.0,0,0.0
12,category,7015651,7015651,100.0,0,0.0
13,escal_reason,7015651,7015651,100.0,0,0.0
14,case_title,7015651,7015651,100.0,0,0.0
15,responsible,7015651,7015651,100.0,0,0.0
16,processor,7015651,7015651,100.0,0,0.0
17,plan_end_date,7015651,7015651,100.0,0,0.0
18,closing_time,7015651,7015651,100.0,0,0.0
19,closed_by,7015651,7015651,100.0,0,0.0
20,change_time,7015651,7015651,100.0,0,0.0
21,changed_by,7015651,7015651,100.0,0,0.0
22,create_time,7015651,7015651,100.0,0,0.0
23,created_by,7015651,7015651,100.0,0,0.0
24,ext_ref,7015651,7015651,100.0,0,0.0
25,ext_key,7015651,7015651,100.0,0,0.0
26,case_type,7015651,7015651,100.0,0,0.0
27,case_guid,7015651,7015651,100.0,0,0.0
28,src_commit_time,7015651,7015651,100.0,0,0.0
