Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2741,2741,100.0,0,0.0
2,mandt,2741,2741,100.0,0,0.0
3,ltsps,2741,2741,100.0,0,0.0
4,spart,2741,2741,100.0,0,0.0
5,vtweg,2741,2741,100.0,0,0.0
6,vkorg,2741,2741,100.0,0,0.0
7,sd_postyp,2741,2741,100.0,0,0.0
8,sd_auart,2741,2741,100.0,0,0.0
9,vbtyp,2741,2741,100.0,0,0.0
10,vorgang,2741,2741,100.0,0,0.0
11,anzsn,2741,2741,100.0,0,0.0
12,kunde,2741,2741,100.0,0,0.0
13,letznr,2741,2741,100.0,0,0.0
14,datum,2741,2741,100.0,0,0.0
15,posnr,2741,2741,100.0,0,0.0
16,sdaufnr,2741,2741,100.0,0,0.0
17,obknr,2741,2741,100.0,0,0.0
18,src_commit_time,2741,2741,100.0,0,0.0
