Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,108960,108960,100.0,0,0.0
2,mustr,108960,108960,100.0,0,0.0
3,glaccount_type,108960,108960,100.0,0,0.0
4,func_area,108960,108960,100.0,0,0.0
5,mcod1,108960,108960,100.0,0,0.0
6,xspep,108960,108960,100.0,0,0.0
7,xspeb,108960,108960,100.0,0,0.0
8,xspea,108960,108960,100.0,0,0.0
9,xloev,108960,108960,100.0,0,0.0
10,vbund,108960,108960,100.0,0,0.0
11,ktoks,108960,108960,100.0,0,0.0
12,mandt,108960,108960,100.0,0,0.0
13,gvtyp,108960,108960,100.0,0,0.0
14,ernam,108960,108960,100.0,0,0.0
15,erdat,108960,108960,100.0,0,0.0
16,bilkt,108960,108960,100.0,0,0.0
17,sakan,108960,108960,100.0,0,0.0
18,xbilk,108960,108960,100.0,0,0.0
19,saknr,108960,108960,100.0,0,0.0
20,ktopl,108960,108960,100.0,0,0.0
21,src_commit_time,108960,108960,100.0,0,0.0
