Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,9993848,135429125,100.0,0,0.0
2,tdform,9993848,135429125,100.0,0,0.0
3,logsys,9993848,135429125,100.0,0,0.0
4,tdoclass,9993848,135429125,100.0,0,0.0
5,tdcompress,9993848,135429125,100.0,0,0.0
6,tdtexttype,9993848,135429125,100.0,0,0.0
7,tdrefid,9993848,135429125,100.0,0,0.0
8,tdrefname,9993848,135429125,100.0,0,0.0
9,tdrefobj,9993848,135429125,100.0,0,0.0
10,tdref,9993848,135429125,100.0,0,0.0
11,tdtxtlines,9993848,135429125,100.0,0,0.0
12,tdmacode2,9993848,135429125,100.0,0,0.0
13,tdmacode1,9993848,135429125,100.0,0,0.0
14,tdospras,9993848,135429125,100.0,0,0.0
15,tdtranstat,9993848,135429125,100.0,0,0.0
16,tdhyphenat,9993848,135429125,100.0,0,0.0
17,tdstyle,9993848,135429125,100.0,0,0.0
18,mandt,9993848,135429125,100.0,0,0.0
19,tdversion,9993848,135429125,100.0,0,0.0
20,tdltime,9993848,135429125,100.0,0,0.0
21,tdldate,9993848,135429125,100.0,0,0.0
22,tdluser,9993848,135429125,100.0,0,0.0
23,tdlreles,9993848,135429125,100.0,0,0.0
24,tdftime,9993848,135429125,100.0,0,0.0
25,tdfdate,9993848,135429125,100.0,0,0.0
26,tdfuser,9993848,135429125,100.0,0,0.0
27,tdfreles,9993848,135429125,100.0,0,0.0
28,tdtitle,9993848,135429125,100.0,0,0.0
29,tdspras,9993848,135429125,100.0,0,0.0
30,tdid,9993848,135429125,100.0,0,0.0
31,tdname,9993848,135429125,100.0,0,0.0
32,tdobject,9993848,135429125,100.0,0,0.0
33,src_commit_time,9993848,135429125,100.0,0,0.0
