Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,18002465,18002465,100.0,0,0.0
2,client,18002465,18002465,100.0,0,0.0
3,wi_id,18002465,18002465,100.0,0,0.0
4,element,18002465,18002465,100.0,0,0.0
5,tab_index,18002465,18002465,100.0,0,0.0
6,elemlength,18002465,18002465,100.0,0,0.0
7,type,18002465,18002465,100.0,0,0.0
8,logsys,18002465,18002465,100.0,0,0.0
9,objtype,18002465,18002465,100.0,0,0.0
10,objkey,18002465,18002465,100.0,0,0.0
11,_dataaging,18002465,18002465,100.0,0,0.0
12,src_commit_time,18002465,18002465,100.0,0,0.0
