Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,13170085,13170085,100.0,0,0.0
2,xmlprot,13170085,13170085,100.0,0,0.0
3,prs_profil,13170085,13170085,100.0,0,0.0
4,note_count,13170085,13170085,100.0,0,0.0
5,exec_time,13170085,13170085,100.0,0,0.0
6,def_guid,13170085,13170085,100.0,0,0.0
7,top_wi_id,13170085,13170085,100.0,0,0.0
8,wait4cb,13170085,13170085,100.0,0,0.0
9,wlc_flags,13170085,13170085,100.0,0,0.0
10,check_stat,13170085,13170085,100.0,0,0.0
11,wf_type,13170085,13170085,100.0,0,0.0
12,timeout,13170085,13170085,100.0,0,0.0
13,status_evt,13170085,13170085,100.0,0,0.0
14,remote_sys,13170085,13170085,100.0,0,0.0
15,remote_id,13170085,13170085,100.0,0,0.0
16,wi_restlog,13170085,13170085,100.0,0,0.0
17,crea_tmp,13170085,13170085,100.0,0,0.0
18,blocktype,13170085,13170085,100.0,0,0.0
19,client,13170085,13170085,100.0,0,0.0
20,aging_temperature,13170085,13170085,100.0,0,0.0
21,cpwf_handle,13170085,13170085,100.0,0,0.0
22,wi_text_id,13170085,13170085,100.0,0,0.0
23,agent_rule_id,13170085,13170085,100.0,0,0.0
24,step_id,13170085,13170085,100.0,0,0.0
25,reference_nodeid,13170085,13170085,100.0,0,0.0
26,wi_aed_timestamp,13170085,13170085,100.0,0,0.0
27,aging_state,13170085,13170085,100.0,0,0.0
28,parent_wi,13170085,13170085,100.0,0,0.0
29,top_task,13170085,13170085,100.0,0,0.0
30,proccat,13170085,13170085,100.0,0,0.0
31,wfd_exetyp,13170085,13170085,100.0,0,0.0
32,wfd_version,13170085,13170085,100.0,0,0.0
33,wfd_id,13170085,13170085,100.0,0,0.0
34,rndnumber,13170085,13170085,100.0,0,0.0
35,wlc_displ,13170085,13170085,100.0,0,0.0
36,wi_release,13170085,13170085,100.0,0,0.0
37,wi_dh_stat,13170085,13170085,100.0,0,0.0
38,wi_cd,13170085,13170085,100.0,0,0.0
39,wi_craddr,13170085,13170085,100.0,0,0.0
40,wi_cruser,13170085,13170085,100.0,0,0.0
41,wi_aaddr,13170085,13170085,100.0,0,0.0
42,wi_aagent,13170085,13170085,100.0,0,0.0
43,wi_aed,13170085,13170085,100.0,0,0.0
44,wi_ct,13170085,13170085,100.0,0,0.0
45,wi_stat,13170085,13170085,100.0,0,0.0
46,no_deadl,13170085,13170085,100.0,0,0.0
47,wi_rhtext,13170085,13170085,100.0,0,0.0
48,wi_text,13170085,13170085,100.0,0,0.0
49,wi_lang,13170085,13170085,100.0,0,0.0
50,wi_creator,13170085,13170085,100.0,0,0.0
51,wi_type,13170085,13170085,100.0,0,0.0
52,wi_id,13170085,13170085,100.0,0,0.0
53,wi_chckwi,13170085,13170085,100.0,0,0.0
54,wi_cbfb,13170085,13170085,100.0,0,0.0
55,wi_rh_task,13170085,13170085,100.0,0,0.0
56,wi_prio,13170085,13170085,100.0,0,0.0
57,syncchain,13170085,13170085,100.0,0,0.0
58,handle,13170085,13170085,100.0,0,0.0
59,cb_done,13170085,13170085,100.0,0,0.0
60,rc_modeled,13170085,13170085,100.0,0,0.0
61,max_retry,13170085,13170085,100.0,0,0.0
62,retry_cnt,13170085,13170085,100.0,0,0.0
63,notify,13170085,13170085,100.0,0,0.0
64,note_exist,13170085,13170085,100.0,0,0.0
65,tclass,13170085,13170085,100.0,0,0.0
66,wi_reject,13170085,13170085,100.0,0,0.0
67,wi_disable,13170085,13170085,100.0,0,0.0
68,wi_forw_by,13170085,13170085,100.0,0,0.0
69,wi_comp_ev,13170085,13170085,100.0,0,0.0
70,wi_confirm,13170085,13170085,100.0,0,0.0
71,src_commit_time,13170085,13170085,100.0,0,0.0
72,wlc_flags_ext,13157642,13170085,99.9,12443,0.1
