Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2791,2791,100.0,0,0.0
2,mandt,2791,2791,100.0,0,0.0
3,oib_tnkassign,2791,2791,100.0,0,0.0
4,oig_itrfl,2791,2791,100.0,0,0.0
5,oih_licno,2791,2791,100.0,0,0.0
6,messt,2791,2791,100.0,0,0.0
7,mesbs,2791,2791,100.0,0,0.0
8,kunnr,2791,2791,100.0,0,0.0
9,lifnr,2791,2791,100.0,0,0.0
10,vstel,2791,2791,100.0,0,0.0
11,vtweg,2791,2791,100.0,0,0.0
12,vkorg,2791,2791,100.0,0,0.0
13,parlg,2791,2791,100.0,0,0.0
14,xhupf,2791,2791,100.0,0,0.0
15,xress,2791,2791,100.0,0,0.0
16,xblgo,2791,2791,100.0,0,0.0
17,diskz,2791,2791,100.0,0,0.0
18,xbufx,2791,2791,100.0,0,0.0
19,xlong,2791,2791,100.0,0,0.0
20,spart,2791,2791,100.0,0,0.0
21,lgobe,2791,2791,100.0,0,0.0
22,lgort,2791,2791,100.0,0,0.0
23,werks,2791,2791,100.0,0,0.0
24,src_commit_time,2791,2791,100.0,0,0.0
