Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,6922,6922,100.0,0,0.0
2,mandt,6922,6922,100.0,0,0.0
3,oss_classification,6922,6922,100.0,0,0.0
4,mossc,6922,6922,100.0,0,0.0
5,xinact,6922,6922,100.0,0,0.0
6,j_1btaxlw5,6922,6922,100.0,0,0.0
7,j_1btaxlw4,6922,6922,100.0,0,0.0
8,newdeftax,6922,6922,100.0,0,0.0
9,zmwsk_ese,6922,6922,100.0,0,0.0
10,zmwsk_esa,6922,6922,100.0,0,0.0
11,tolerance,6922,6922,100.0,0,0.0
12,j_1btxipex,6922,6922,100.0,0,0.0
13,j_1btxicex,6922,6922,100.0,0,0.0
14,j_1btaxlw2,6922,6922,100.0,0,0.0
15,j_1btaxlw1,6922,6922,100.0,0,0.0
16,j_1biss,6922,6922,100.0,0,0.0
17,j_1busage,6922,6922,100.0,0,0.0
18,lstml,6922,6922,100.0,0,0.0
19,txrel,6922,6922,100.0,0,0.0
20,txind,6922,6922,100.0,0,0.0
21,procd,6922,6922,100.0,0,0.0
22,xslta,6922,6922,100.0,0,0.0
23,egrkz,6922,6922,100.0,0,0.0
24,zmwsk,6922,6922,100.0,0,0.0
25,xmstu,6922,6922,100.0,0,0.0
26,mwart,6922,6922,100.0,0,0.0
27,pruef,6922,6922,100.0,0,0.0
28,mwskz,6922,6922,100.0,0,0.0
29,kalsm,6922,6922,100.0,0,0.0
30,src_commit_time,6922,6922,100.0,0,0.0
