Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2699,2699,100.0,0,0.0
2,mandt,2699,2699,100.0,0,0.0
3,ktopl,2699,2699,100.0,0,0.0
4,hkont,2699,2699,100.0,0,0.0
5,waers,2699,2699,100.0,0,0.0
6,curtp,2699,2699,100.0,0,0.0
7,lkorr,2699,2699,100.0,0,0.0
8,lsrea,2699,2699,100.0,0,0.0
9,lhrea,2699,2699,100.0,0,0.0
10,lstra,2699,2699,100.0,0,0.0
11,lhtra,2699,2699,100.0,0,0.0
12,lsbew,2699,2699,100.0,0,0.0
13,lhbew,2699,2699,100.0,0,0.0
14,lstrv,2699,2699,100.0,0,0.0
15,lhtrv,2699,2699,100.0,0,0.0
16,src_commit_time,2699,2699,100.0,0,0.0
