Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,452,452,100.0,0,0.0
2,zsmn2,452,452,100.0,0,0.0
3,f_obsolete,452,452,100.0,0,0.0
4,xscrc,452,452,100.0,0,0.0
5,xsplt,452,452,100.0,0,0.0
6,koart,452,452,100.0,0,0.0
7,xchpm,452,452,100.0,0,0.0
8,zlsch,452,452,100.0,0,0.0
9,txn08,452,452,100.0,0,0.0
10,xchpb,452,452,100.0,0,0.0
11,zschf,452,452,100.0,0,0.0
12,xzbrv,452,452,100.0,0,0.0
13,zsmn3,452,452,100.0,0,0.0
14,zstg3,452,452,100.0,0,0.0
15,zstg2,452,452,100.0,0,0.0
16,mandt,452,452,100.0,0,0.0
17,zsmn1,452,452,100.0,0,0.0
18,zstg1,452,452,100.0,0,0.0
19,ztag3,452,452,100.0,0,0.0
20,zprz2,452,452,100.0,0,0.0
21,ztag2,452,452,100.0,0,0.0
22,zprz1,452,452,100.0,0,0.0
23,ztag1,452,452,100.0,0,0.0
24,zmona,452,452,100.0,0,0.0
25,zfael,452,452,100.0,0,0.0
26,zdart,452,452,100.0,0,0.0
27,ztagg,452,452,100.0,0,0.0
28,zterm,452,452,100.0,0,0.0
29,src_commit_time,452,452,100.0,0,0.0
