Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,3901,3901,100.0,0,0.0
2,mandt,3901,3901,100.0,0,0.0
3,waers,3901,3901,100.0,0,0.0
4,xp2ne,3901,3901,100.0,0,0.0
5,xp2ja,3901,3901,100.0,0,0.0
6,proz2,3901,3901,100.0,0,0.0
7,xp1ne,3901,3901,100.0,0,0.0
8,xp1ja,3901,3901,100.0,0,0.0
9,proz1,3901,3901,100.0,0,0.0
10,xw2ne,3901,3901,100.0,0,0.0
11,xw2ja,3901,3901,100.0,0,0.0
12,wert2,3901,3901,100.0,0,0.0
13,xw1ne,3901,3901,100.0,0,0.0
14,xw1ja,3901,3901,100.0,0,0.0
15,wert1,3901,3901,100.0,0,0.0
16,tolsl,3901,3901,100.0,0,0.0
17,bukrs,3901,3901,100.0,0,0.0
18,src_commit_time,3901,3901,100.0,0,0.0
