Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,1919604,1919604,100.0,0,0.0
2,mandt,1919604,1919604,100.0,0,0.0
3,is_posted_ml,1919604,1919604,100.0,0,0.0
4,is_posted_simu,1919604,1919604,100.0,0,0.0
5,status_lfdnr,1919604,1919604,100.0,0,0.0
6,xhoag_post,1919604,1919604,100.0,0,0.0
7,xcomplete,1919604,1919604,100.0,0,0.0
8,targetacc,1919604,1919604,100.0,0,0.0
9,upduser,1919604,1919604,100.0,0,0.0
10,updtime,1919604,1919604,100.0,0,0.0
11,upddate,1919604,1919604,100.0,0,0.0
12,insuser,1919604,1919604,100.0,0,0.0
13,instime,1919604,1919604,100.0,0,0.0
14,insdate,1919604,1919604,100.0,0,0.0
15,esnum_bundle,1919604,1919604,100.0,0,0.0
16,kukey_bundle,1919604,1919604,100.0,0,0.0
17,grobfilter,1919604,1919604,100.0,0,0.0
18,budat,1919604,1919604,100.0,0,0.0
19,tcode,1919604,1919604,100.0,0,0.0
20,systemkz,1919604,1919604,100.0,0,0.0
21,buchungskennz,1919604,1919604,100.0,0,0.0
22,ordnungsbegriff,1919604,1919604,100.0,0,0.0
23,z_art,1919604,1919604,100.0,0,0.0
24,bugrp,1919604,1919604,100.0,0,0.0
25,z_art_typ,1919604,1919604,100.0,0,0.0
26,esnum,1919604,1919604,100.0,0,0.0
27,kukey,1919604,1919604,100.0,0,0.0
28,src_commit_time,1919604,1919604,100.0,0,0.0
