Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,2098163,2098163,100.0,0,0.0
2,knuma_pi,2098163,2098163,100.0,0,0.0
3,pq_dummy1,2098163,2098163,100.0,0,0.0
4,dptab,2098163,2098163,100.0,0,0.0
5,irm_aezet,2098163,2098163,100.0,0,0.0
6,irm_aenam,2098163,2098163,100.0,0,0.0
7,chdat,2098163,2098163,100.0,0,0.0
8,knumh_ref,2098163,2098163,100.0,0,0.0
9,vadat,2098163,2098163,100.0,0,0.0
10,licdt,2098163,2098163,100.0,0,0.0
11,licno,2098163,2098163,100.0,0,0.0
12,knuma_sd,2098163,2098163,100.0,0,0.0
13,knuma_sq,2098163,2098163,100.0,0,0.0
14,knuma_ag,2098163,2098163,100.0,0,0.0
15,kzust,2098163,2098163,100.0,0,0.0
16,mandt,2098163,2098163,100.0,0,0.0
17,kosrt,2098163,2098163,100.0,0,0.0
18,datbi,2098163,2098163,100.0,0,0.0
19,datab,2098163,2098163,100.0,0,0.0
20,vakey,2098163,2098163,100.0,0,0.0
21,kschl,2098163,2098163,100.0,0,0.0
22,kappl,2098163,2098163,100.0,0,0.0
23,kotabnr,2098163,2098163,100.0,0,0.0
24,kvewe,2098163,2098163,100.0,0,0.0
25,irm_erzet,2098163,2098163,100.0,0,0.0
26,erdat,2098163,2098163,100.0,0,0.0
27,ernam,2098163,2098163,100.0,0,0.0
28,knumh,2098163,2098163,100.0,0,0.0
29,src_commit_time,2098163,2098163,100.0,0,0.0
