Rank,Column,Non-Empty Count,Total Rows,Usage %,Empty Count,Empty %
1,hvr_rowid,331146,331146,100.0,0,0.0
2,zprdlfg,331146,331146,100.0,0,0.0
3,zlcrrp,331146,331146,100.0,0,0.0
4,zlcprrrp,331146,331146,100.0,0,0.0
5,zadprice,331146,331146,100.0,0,0.0
6,zcuscln,331146,331146,100.0,0,0.0
7,zvalue70,331146,331146,100.0,0,0.0
8,zprdlfl,331146,331146,100.0,0,0.0
9,zcomment,331146,331146,100.0,0,0.0
10,prodh2,331146,331146,100.0,0,0.0
11,zapflow,331146,331146,100.0,0,0.0
12,zpridcmt,331146,331146,100.0,0,0.0
13,zvatrate,331146,331146,100.0,0,0.0
14,zcusth,331146,331146,100.0,0,0.0
15,zstratgy,331146,331146,100.0,0,0.0
16,zvalue29,331146,331146,100.0,0,0.0
17,zspprrrp,331146,331146,100.0,0,0.0
18,zcogs,331146,331146,100.0,0,0.0
19,zprd3_des,331146,331146,100.0,0,0.0
20,zglbpodat,331146,331146,100.0,0,0.0
21,hienr,331146,331146,100.0,0,0.0
22,zexceptl,331146,331146,100.0,0,0.0
23,zglbprlp,331146,331146,100.0,0,0.0
24,zmaxstti,331146,331146,100.0,0,0.0
25,zextwg,331146,331146,100.0,0,0.0
26,zcuscls,331146,331146,100.0,0,0.0
27,zglbldate,331146,331146,100.0,0,0.0
28,zprd2_des,331146,331146,100.0,0,0.0
29,zglbeldat,331146,331146,100.0,0,0.0
30,zglbadate,331146,331146,100.0,0,0.0
31,zprdsor,331146,331146,100.0,0,0.0
32,zdontprm,331146,331146,100.0,0,0.0
33,zglbplcst,331146,331146,100.0,0,0.0
34,zkukla,331146,331146,100.0,0,0.0
35,zvalue28,331146,331146,100.0,0,0.0
36,zvalue71,331146,331146,100.0,0,0.0
37,mandt,331146,331146,100.0,0,0.0
38,zl5dadp,331146,331146,100.0,0,0.0
39,zllclp,331146,331146,100.0,0,0.0
40,zlcrigp,331146,331146,100.0,0,0.0
41,zlcpigp,331146,331146,100.0,0,0.0
42,zlcnigp,331146,331146,100.0,0,0.0
43,zl5vsap,331146,331146,100.0,0,0.0
44,zl5lpap,331146,331146,100.0,0,0.0
45,zl5aigp,331146,331146,100.0,0,0.0
46,zllcnpd,331146,331146,100.0,0,0.0
47,zllcrrp,331146,331146,100.0,0,0.0
48,zprd4_des,331146,331146,100.0,0,0.0
49,zvalue76,331146,331146,100.0,0,0.0
50,zzprodh4,331146,331146,100.0,0,0.0
51,kopos,331146,331146,100.0,0,0.0
52,knumh,331146,331146,100.0,0,0.0
53,zllcnlp,331146,331146,100.0,0,0.0
54,zllcnrrp,331146,331146,100.0,0,0.0
55,zpkpacrp,331146,331146,100.0,0,0.0
56,zlspigp,331146,331146,100.0,0,0.0
57,zopkprap,331146,331146,100.0,0,0.0
58,zogmktpr,331146,331146,100.0,0,0.0
59,znpacrp,331146,331146,100.0,0,0.0
60,zlsppvp,331146,331146,100.0,0,0.0
61,zlspprp,331146,331146,100.0,0,0.0
62,zlspplp,331146,331146,100.0,0,0.0
63,zlpric5,331146,331146,100.0,0,0.0
64,zllcnvp,331146,331146,100.0,0,0.0
65,zllsppd,331146,331146,100.0,0,0.0
66,zllcvsp,331146,331146,100.0,0,0.0
67,zllcpvp,331146,331146,100.0,0,0.0
68,zllcprrp,331146,331146,100.0,0,0.0
69,zllcprd,331146,331146,100.0,0,0.0
70,zllcplp,331146,331146,100.0,0,0.0
71,src_commit_time,331146,331146,100.0,0,0.0
